Vendor_ID,Vendor_Name,Vendor_Category,Project_ID,Contract_Value,Contract_Start_Date,Contract_End_Date,Vendor_Manager,SLA_Status,Performance_Rating,Payment_Status,Country
V027,Capgemini,Cloud,PRJ077,71807447,11-Dec-25,01-Nov-26,A Sharma,Breached,4.8,Paid,India
V028,Infosys,Support,PRJ004,138823222,26-Apr-25,15-Sep-26,M Patel,Breached,4.9,Paid,Germany
V029,IBM,Cloud,PRJ013,82625112,18-Mar-25,21-Sep-25,S Verma,Breached,4.1,Paid,Australia
V030,Infosys,Cloud,PRJ078,100205840,16-Aug-25,29-Jan-26,M Patel,Met,3.6,Pending,UK
V031,Deloitte,Support,PRJ011,40013951,22-Feb-26,14-Feb-27,R Singh,Breached,5,Paid,India
V032,Deloitte,Support,PRJ033,78756124,29-Dec-25,22-Apr-27,R Singh,Breached,4.2,Pending,USA
V033,Deloitte,Cloud,PRJ049,42819794,23-Jul-25,19-Feb-26,A Sharma,Met,3.2,Pending,Singapore
V034,Accenture,Support,PRJ085,117510705,17-Jan-26,12-Aug-26,K Rao,Breached,4.3,Paid,Germany
V035,Accenture,Implementation,PRJ044,34320882,02-Oct-25,19-Mar-26,A Sharma,Breached,4.1,Pending,USA
V036,TCS,Cloud,PRJ011,45869120,22-Feb-26,14-Feb-27,P Gupta,Breached,3.3,Pending,USA
V037,TCS,Cloud,PRJ018,121411305,14-Jan-25,20-Jun-26,A Sharma,Met,4.9,Paid,Australia
V038,Accenture,Implementation,PRJ072,58029726,27-Aug-25,17-Jan-26,N Kumar,Breached,3.1,Pending,Australia
V039,Accenture,Cloud,PRJ084,55584007,16-Mar-25,03-Oct-25,A Sharma,Met,3.1,Pending,USA
V040,IBM,Cloud,PRJ068,115678906,25-Apr-26,06-Oct-26,A Sharma,Breached,4.8,Paid,USA
V041,Infosys,Support,PRJ033,116123446,29-Dec-25,22-Apr-27,A Sharma,Breached,4.5,Paid,UK
V042,TCS,Cloud,PRJ020,45608767,08-May-26,08-Sep-27,A Sharma,Met,3.3,Paid,UK
V043,IBM,Implementation,PRJ018,99109055,14-Jan-25,20-Jun-26,R Singh,Met,4.3,Pending,Singapore
V044,TCS,Cloud,PRJ016,74035034,13-Sep-25,10-Dec-26,M Patel,Met,4.3,Paid,UK
V045,Capgemini,Implementation,PRJ048,18056478,01-Jun-25,26-Nov-25,R Singh,Breached,4.5,Pending,USA
V046,Infosys,Cloud,PRJ045,49951686,24-Jan-26,10-May-27,P Gupta,Met,4.9,Pending,UK
V047,IBM,Cloud,PRJ036,118575974,19-Mar-26,25-Apr-27,K Rao,Breached,3.4,Paid,Australia
V048,Deloitte,Implementation,PRJ070,106563838,16-Mar-25,22-Dec-25,N Kumar,Breached,3.6,Paid,UK
V049,Infosys,Support,PRJ028,40283990,19-Apr-25,19-Dec-25,V Mehta,Breached,3.4,Pending,Germany
V050,Accenture,Support,PRJ078,90785446,16-Aug-25,29-Jan-26,N Kumar,Met,4.8,Paid,USA
V051,Capgemini,Implementation,PRJ092,8522668,10-Apr-26,14-Mar-27,P Gupta,Met,3.8,Paid,UK
V052,IBM,Cloud,PRJ005,112575929,16-Jul-25,29-Dec-25,K Rao,Breached,4.2,Paid,India
V053,Accenture,Implementation,PRJ069,2990320,25-Aug-25,11-Oct-26,R Singh,Breached,3.5,Paid,UK
V054,Accenture,Implementation,PRJ083,1868359,07-May-26,13-Jul-27,R Singh,Breached,4.3,Paid,Singapore
V055,Capgemini,Support,PRJ042,35159529,28-Sep-25,13-Jan-27,M Patel,Met,3.6,Pending,Germany
V056,TCS,Implementation,PRJ075,109065051,26-Oct-25,13-Mar-27,K Rao,Breached,5,Pending,Australia
V057,Deloitte,Cloud,PRJ086,22553399,30-Jun-25,08-Dec-25,R Singh,Breached,4,Paid,UK
V058,Deloitte,Implementation,PRJ055,34533685,13-Jan-26,01-Dec-26,M Patel,Met,4.6,Pending,USA
V059,Capgemini,Implementation,PRJ037,49239646,19-Feb-25,13-Nov-25,N Kumar,Met,3.8,Pending,India
V060,Deloitte,Support,PRJ004,87695186,26-Apr-25,15-Sep-26,V Mehta,Breached,4.4,Paid,India
V061,IBM,Cloud,PRJ100,98846022,15-Jul-25,15-Nov-25,N Kumar,Breached,3.7,Paid,India
V062,IBM,Implementation,PRJ046,12195810,12-Apr-25,30-Sep-26,S Verma,Breached,4.1,Pending,USA
V063,Accenture,Support,PRJ087,43178935,04-Sep-25,19-Sep-26,M Patel,Breached,3.1,Pending,USA
V064,Deloitte,Cloud,PRJ092,13375997,10-Apr-26,14-Mar-27,V Mehta,Met,4.5,Pending,Germany
V065,Accenture,Cloud,PRJ067,9260782,23-Mar-25,05-Sep-26,K Rao,Breached,3.7,Paid,Germany
V066,Infosys,Implementation,PRJ043,126400470,01-May-25,25-Apr-26,A Sharma,Breached,4.1,Paid,Singapore
V067,Accenture,Implementation,PRJ073,17876895,21-Jan-26,15-Nov-26,P Gupta,Breached,3.6,Pending,Australia
V068,Infosys,Cloud,PRJ035,118850293,29-Jun-25,20-Jul-26,N Kumar,Met,4.9,Paid,USA
V069,Capgemini,Implementation,PRJ030,118859081,03-May-25,26-Sep-26,V Mehta,Met,4,Pending,USA
V070,IBM,Implementation,PRJ035,57208589,29-Jun-25,20-Jul-26,V Mehta,Met,3,Paid,India
V071,TCS,Implementation,PRJ062,32401713,09-May-26,01-Nov-26,S Verma,Met,3.1,Pending,UK
V072,Infosys,Support,PRJ028,14906539,19-Apr-25,19-Dec-25,P Gupta,Breached,4,Paid,India
V073,Infosys,Implementation,PRJ001,20923159,26-Sep-25,01-Feb-26,R Singh,Breached,3.8,Paid,Australia
V074,Infosys,Cloud,PRJ058,72015553,14-May-25,13-Oct-25,K Rao,Met,3,Pending,USA
V075,IBM,Cloud,PRJ031,62072033,07-Nov-25,05-Dec-26,P Gupta,Met,3.3,Pending,Australia
V076,Infosys,Implementation,PRJ004,173654812,26-Apr-25,15-Sep-26,S Verma,Breached,3.1,Paid,Germany
V077,TCS,Implementation,PRJ088,32647390,02-Sep-25,14-Jan-26,S Verma,Met,3.8,Pending,Australia
V078,Capgemini,Implementation,PRJ079,43775914,30-Nov-25,22-Jun-26,S Verma,Met,4.5,Pending,Australia
V079,IBM,Cloud,PRJ097,41714873,16-Sep-25,29-Oct-26,M Patel,Breached,3.5,Pending,Singapore
V080,IBM,Cloud,PRJ096,4491711,27-Mar-25,25-Feb-26,N Kumar,Met,4.2,Paid,India
V081,IBM,Support,PRJ082,79148121,07-Jan-25,13-Jun-25,N Kumar,Breached,3.4,Pending,India
V082,Capgemini,Cloud,PRJ093,82182487,22-Feb-25,21-Aug-25,V Mehta,Breached,4.3,Paid,Australia
V083,IBM,Support,PRJ018,81843991,14-Jan-25,20-Jun-26,V Mehta,Met,3.5,Pending,India
V084,Accenture,Implementation,PRJ011,62592405,22-Feb-26,14-Feb-27,P Gupta,Met,3.9,Paid,USA
V085,Capgemini,Support,PRJ092,7328537,10-Apr-26,14-Mar-27,N Kumar,Met,4.6,Paid,Singapore
V086,Deloitte,Support,PRJ052,97867985,14-Feb-25,01-Sep-25,K Rao,Breached,3.6,Paid,Germany
V087,TCS,Implementation,PRJ061,117135437,17-Mar-25,31-Jul-26,V Mehta,Met,3.7,Paid,USA
V088,Accenture,Cloud,PRJ096,4450567,27-Mar-25,25-Feb-26,M Patel,Met,4.2,Pending,Australia
V089,IBM,Implementation,PRJ084,44841454,16-Mar-25,03-Oct-25,K Rao,Met,4.5,Paid,Australia
V090,IBM,Support,PRJ034,37989804,02-Oct-25,25-Oct-26,P Gupta,Met,4.2,Pending,India
V091,TCS,Implementation,PRJ085,102814698,17-Jan-26,12-Aug-26,S Verma,Met,3.4,Pending,Singapore
V092,TCS,Support,PRJ089,119106635,15-Sep-25,28-Apr-26,K Rao,Breached,3.9,Pending,UK
V093,Accenture,Support,PRJ009,132504245,28-May-25,02-Oct-25,P Gupta,Breached,4.8,Pending,India
V094,Infosys,Support,PRJ066,100301650,06-Jul-25,28-Feb-26,M Patel,Met,3.3,Paid,UK
V095,Capgemini,Cloud,PRJ037,75600457,19-Feb-25,13-Nov-25,N Kumar,Breached,3.5,Paid,USA
V096,Infosys,Implementation,PRJ060,46041318,30-Mar-25,03-Aug-25,R Singh,Met,4.7,Pending,Germany
V097,Capgemini,Implementation,PRJ009,54436388,28-May-25,02-Oct-25,K Rao,Breached,3.6,Pending,India
V098,Infosys,Support,PRJ012,65885689,08-Jan-25,30-May-25,V Mehta,Met,3.4,Pending,Australia
V099,Infosys,Cloud,PRJ011,43071717,22-Feb-26,14-Feb-27,A Sharma,Breached,4.6,Paid,USA
V100,Accenture,Implementation,PRJ095,15217966,02-Apr-26,19-Sep-26,R Singh,Breached,4,Pending,Singapore
V101,TCS,Implementation,PRJ023,53256814,21-Jun-25,08-Feb-26,M Patel,Met,4.6,Pending,USA
V102,IBM,Support,PRJ054,11175501,15-Apr-26,23-Apr-27,R Singh,Breached,3.1,Pending,USA
V103,Deloitte,Support,PRJ054,15516278,15-Apr-26,23-Apr-27,V Mehta,Breached,4.5,Paid,UK
V104,IBM,Implementation,PRJ070,68773503,16-Mar-25,22-Dec-25,A Sharma,Met,4.5,Paid,Australia
V105,TCS,Support,PRJ085,83328982,17-Jan-26,12-Aug-26,S Verma,Breached,3.5,Paid,Singapore
V106,IBM,Support,PRJ070,25314191,16-Mar-25,22-Dec-25,R Singh,Breached,4.4,Pending,Singapore
V107,Capgemini,Implementation,PRJ067,1814242,23-Mar-25,05-Sep-26,P Gupta,Breached,3,Paid,Germany
V108,Capgemini,Support,PRJ095,47820949,02-Apr-26,19-Sep-26,M Patel,Breached,3.4,Pending,Singapore
V109,IBM,Cloud,PRJ034,149275842,02-Oct-25,25-Oct-26,P Gupta,Met,3.9,Paid,UK
V110,IBM,Support,PRJ041,13582755,30-Dec-25,06-Jul-26,M Patel,Met,3,Pending,India
V111,Accenture,Support,PRJ093,92140860,22-Feb-25,21-Aug-25,V Mehta,Met,3.8,Pending,USA
V112,Capgemini,Implementation,PRJ083,1776443,07-May-26,13-Jul-27,V Mehta,Breached,3.4,Pending,Germany
V113,Capgemini,Cloud,PRJ027,64739058,27-Apr-26,21-Sep-26,N Kumar,Met,4.5,Paid,UK
V114,Accenture,Cloud,PRJ037,29032886,19-Feb-25,13-Nov-25,M Patel,Met,4.2,Paid,Singapore
V115,Capgemini,Implementation,PRJ098,122741889,13-Apr-26,23-May-27,S Verma,Met,3.2,Pending,USA
V116,Capgemini,Cloud,PRJ096,3623065,27-Mar-25,25-Feb-26,S Verma,Met,3.7,Pending,Singapore
V117,Infosys,Support,PRJ037,67672734,19-Feb-25,13-Nov-25,P Gupta,Met,4.8,Paid,USA
V118,Infosys,Support,PRJ080,45478367,05-Feb-26,06-Jan-27,V Mehta,Met,3.4,Paid,Singapore
V119,IBM,Support,PRJ023,83076434,21-Jun-25,08-Feb-26,K Rao,Met,4.6,Paid,UK
V120,Capgemini,Support,PRJ091,191132029,18-Feb-26,22-Apr-27,R Singh,Met,4.1,Pending,Australia
V121,Deloitte,Cloud,PRJ014,71708654,30-Jan-25,21-Jan-26,S Verma,Met,4.4,Paid,Singapore
V122,Accenture,Cloud,PRJ086,8592484,30-Jun-25,08-Dec-25,A Sharma,Met,5,Pending,Singapore
V123,Infosys,Implementation,PRJ077,119820153,11-Dec-25,01-Nov-26,R Singh,Breached,3.3,Paid,UK
V124,Deloitte,Support,PRJ017,82098109,22-Feb-25,13-Dec-25,S Verma,Breached,4,Paid,India
V125,Infosys,Support,PRJ016,17334361,13-Sep-25,10-Dec-26,P Gupta,Met,4.8,Paid,Australia
V126,Accenture,Support,PRJ024,11245512,18-Apr-25,05-Mar-26,K Rao,Met,4.2,Pending,India
V127,Infosys,Implementation,PRJ002,11724750,10-Apr-26,18-Sep-26,S Verma,Met,3.2,Paid,USA
V128,Capgemini,Implementation,PRJ029,78920465,19-Feb-25,02-Sep-25,M Patel,Breached,3.1,Paid,Australia
V129,Deloitte,Implementation,PRJ034,40869695,02-Oct-25,25-Oct-26,V Mehta,Met,4.8,Pending,India
V130,TCS,Cloud,PRJ074,47160885,14-Oct-25,14-Feb-27,N Kumar,Breached,4.2,Paid,India
V131,Deloitte,Implementation,PRJ058,49457736,14-May-25,13-Oct-25,N Kumar,Met,3.2,Pending,UK
V132,TCS,Implementation,PRJ075,30917777,26-Oct-25,13-Mar-27,S Verma,Breached,3,Pending,USA
V133,Deloitte,Support,PRJ093,34811139,22-Feb-25,21-Aug-25,V Mehta,Met,4.8,Paid,Singapore
V134,IBM,Cloud,PRJ072,97132501,27-Aug-25,17-Jan-26,N Kumar,Met,4.4,Paid,India
V135,IBM,Implementation,PRJ023,90705040,21-Jun-25,08-Feb-26,N Kumar,Breached,4,Pending,Australia
V136,IBM,Implementation,PRJ062,14370770,09-May-26,01-Nov-26,S Verma,Breached,4.8,Paid,Australia
V137,Infosys,Support,PRJ044,35650220,02-Oct-25,19-Mar-26,P Gupta,Breached,3.8,Pending,Australia
V138,Capgemini,Support,PRJ047,11723033,14-Mar-25,09-Nov-25,V Mehta,Met,3.6,Pending,Germany
V139,Deloitte,Cloud,PRJ015,116695477,28-Jan-25,20-Sep-25,V Mehta,Met,4.7,Pending,Germany
V140,Capgemini,Cloud,PRJ087,46359142,04-Sep-25,19-Sep-26,K Rao,Met,4.4,Paid,India
V141,IBM,Implementation,PRJ018,81199252,14-Jan-25,20-Jun-26,P Gupta,Met,4.6,Pending,Australia
V142,IBM,Support,PRJ018,171031751,14-Jan-25,20-Jun-26,V Mehta,Met,4.1,Pending,Germany
V143,Capgemini,Support,PRJ092,3320403,10-Apr-26,14-Mar-27,A Sharma,Met,4,Paid,Singapore
V144,Capgemini,Support,PRJ098,90874004,13-Apr-26,23-May-27,K Rao,Met,4.1,Pending,Singapore
V145,Capgemini,Cloud,PRJ002,6085297,10-Apr-26,18-Sep-26,N Kumar,Met,3,Paid,Germany
V146,TCS,Support,PRJ076,88158219,30-Nov-25,22-Jul-26,P Gupta,Met,4.3,Pending,Australia
V147,Deloitte,Support,PRJ040,22146320,16-Apr-26,13-Apr-27,M Patel,Met,4,Paid,UK
V148,Capgemini,Support,PRJ021,92727859,17-Oct-25,31-Mar-27,R Singh,Breached,4.9,Pending,Australia
V149,Infosys,Cloud,PRJ063,109413809,17-Jul-25,06-Jul-26,A Sharma,Breached,3.1,Pending,India
V150,Infosys,Support,PRJ069,1045781,25-Aug-25,11-Oct-26,A Sharma,Met,4.9,Paid,Germany
