Financial_ID,Project_ID,Fiscal_Year,Fiscal_Month,Budget_INR,Forecast_INR,Actual_Spend_INR,Capital_Expense_INR,Operational_Expense_INR,Planned_Revenue_INR,Actual_Revenue_INR,Variance_INR,Cost_Status,Finance_Manager
FIN0024,PRJ002,2026,Dec,20700000,1678004,1398906,839343,559562,2242500,2524500,279098,Under,V Mehta
FIN0025,PRJ003,2026,Jan,188300000,17201523,18734335,11240601,7493734,20399166,21355023,-1532812,On Budget,M Patel
FIN0026,PRJ003,2026,Feb,188300000,14846995,16733088,10039852,6693235,20399166,19780734,-1886093,Over,V Mehta
FIN0027,PRJ003,2026,Mar,188300000,17045671,17234840,10340904,6893936,20399166,19824209,-189169,Under,K Rao
FIN0028,PRJ003,2026,Apr,188300000,15873614,14544790,8726874,5817916,20399166,23426900,1328824,Over,K Rao
FIN0029,PRJ003,2026,May,188300000,14800008,17366453,10419871,6946581,20399166,22185730,-2566445,Under,R Singh
FIN0030,PRJ003,2026,Jun,188300000,15869399,15571260,9342756,6228504,20399166,19663430,298139,Under,S Verma
FIN0031,PRJ003,2026,Jul,188300000,15360928,15562757,9337654,6225102,20399166,21891269,-201829,On Budget,P Gupta
FIN0032,PRJ003,2026,Aug,188300000,15028944,17292499,10375499,6916999,20399166,19372505,-2263555,Over,M Patel
FIN0033,PRJ003,2026,Sep,188300000,17039838,15596030,9357618,6238412,20399166,19691053,1443808,Over,N Kumar
FIN0034,PRJ003,2026,Oct,188300000,14474120,16185784,9711470,6474313,20399166,17538621,-1711664,Under,V Mehta
FIN0035,PRJ003,2026,Nov,188300000,16661449,15498380,9299028,6199352,20399166,17363063,1163069,Under,V Mehta
FIN0036,PRJ003,2026,Dec,188300000,17260552,15776998,9466198,6310799,20399166,17935523,1483554,Over,S Verma
FIN0037,PRJ004,2026,Jan,217900000,19749651,19621421,11772852,7848568,23605833,21949396,128230,Over,V Mehta
FIN0038,PRJ004,2026,Feb,217900000,17632578,21148750,12689250,8459500,23605833,26329247,-3516172,Under,P Gupta
FIN0039,PRJ004,2026,Mar,217900000,16479240,20288549,12173129,8115419,23605833,25015054,-3809309,Over,N Kumar
FIN0040,PRJ004,2026,Apr,217900000,17598424,21276531,12765918,8510612,23605833,26861511,-3678107,Under,V Mehta
FIN0041,PRJ004,2026,May,217900000,17992812,20708877,12425326,8283550,23605833,18645873,-2716065,Over,V Mehta
FIN0042,PRJ004,2026,Jun,217900000,19522007,18447901,11068740,7379160,23605833,23130597,1074106,Over,K Rao
FIN0043,PRJ004,2026,Jul,217900000,19666459,15015848,9009508,6006339,23605833,26921848,4650611,Under,K Rao
FIN0044,PRJ004,2026,Aug,217900000,16426109,15456027,9273616,6182410,23605833,21154061,970082,On Budget,K Rao
FIN0045,PRJ004,2026,Sep,217900000,16823435,16910541,10146324,6764216,23605833,22211780,-87106,Under,V Mehta
FIN0046,PRJ004,2026,Oct,217900000,19299472,15096900,9058140,6038760,23605833,20494582,4202572,Under,S Verma
FIN0047,PRJ004,2026,Nov,217900000,17132814,20979830,12587898,8391932,23605833,25020934,-3847016,Under,V Mehta
FIN0048,PRJ004,2026,Dec,217900000,19476240,17274291,10364574,6909716,23605833,25170300,2201949,Over,N Kumar
FIN0049,PRJ005,2026,Jan,237400000,20878557,17146694,10288016,6858677,25718333,24550026,3731863,Over,A Sharma
FIN0050,PRJ005,2026,Feb,237400000,20721807,21733825,13040295,8693530,25718333,25096583,-1012018,On Budget,R Singh
FIN0051,PRJ005,2026,Mar,237400000,18525430,19711307,11826784,7884522,25718333,24112827,-1185877,Under,S Verma
FIN0052,PRJ005,2026,Apr,237400000,19334960,16556937,9934162,6622774,25718333,29492011,2778023,On Budget,R Singh
FIN0053,PRJ005,2026,May,237400000,17969602,21704180,13022508,8681672,25718333,24433906,-3734578,Under,S Verma
FIN0054,PRJ005,2026,Jun,237400000,20184372,19971587,11982952,7988634,25718333,19888534,212785,Over,P Gupta
FIN0055,PRJ005,2026,Jul,237400000,18394665,16677187,10006312,6670874,25718333,22743498,1717478,Over,M Patel
FIN0056,PRJ005,2026,Aug,237400000,19415059,19758920,11855352,7903568,25718333,22892056,-343861,On Budget,V Mehta
FIN0057,PRJ005,2026,Sep,237400000,20379245,17272427,10363456,6908970,25718333,28690950,3106818,Under,S Verma
FIN0058,PRJ005,2026,Oct,237400000,20516265,22926501,13755900,9170600,25718333,29594531,-2410236,Over,A Sharma
FIN0059,PRJ005,2026,Nov,237400000,18271102,16272064,9763238,6508825,25718333,21686661,1999038,Under,S Verma
FIN0060,PRJ005,2026,Dec,237400000,21262432,19212579,11527547,7685031,25718333,22456910,2049853,Over,P Gupta
FIN0061,PRJ006,2026,Jan,223600000,19811061,19529859,11717915,7811943,24223333,24491711,281202,On Budget,P Gupta
FIN0062,PRJ006,2026,Feb,223600000,17521563,19528526,11717115,7811410,24223333,24204844,-2006963,Under,M Patel
FIN0063,PRJ006,2026,Mar,223600000,19123875,21464242,12878545,8585696,24223333,23343006,-2340367,On Budget,A Sharma
FIN0064,PRJ006,2026,Apr,223600000,19698270,19872244,11923346,7948897,24223333,19225311,-173974,On Budget,N Kumar
FIN0065,PRJ006,2026,May,223600000,19186158,22249668,13349800,8899867,24223333,23808231,-3063510,Over,P Gupta
FIN0066,PRJ006,2026,Jun,223600000,18422951,18051783,10831069,7220713,24223333,23286588,371168,Over,N Kumar
FIN0067,PRJ006,2026,Jul,223600000,17417603,16132293,9679375,6452917,24223333,23884913,1285310,On Budget,S Verma
FIN0068,PRJ006,2026,Aug,223600000,18630335,16234747,9740848,6493898,24223333,27817240,2395588,Under,R Singh
FIN0069,PRJ006,2026,Sep,223600000,19575671,18789177,11273506,7515670,24223333,21477900,786494,On Budget,A Sharma
FIN0070,PRJ006,2026,Oct,223600000,17833987,21692581,13015548,8677032,24223333,22300955,-3858594,Under,K Rao
FIN0071,PRJ006,2026,Nov,223600000,17930098,20667400,12400440,8266960,24223333,19184587,-2737302,Over,K Rao
FIN0072,PRJ006,2026,Dec,223600000,17214579,20012544,12007526,8005017,24223333,20556370,-2797965,On Budget,M Patel
FIN0073,PRJ007,2026,Jan,91900000,8061569,6606485,3963891,2642594,9955833,9774182,1455084,Over,P Gupta
FIN0074,PRJ007,2026,Feb,91900000,7065795,8240016,4944009,3296006,9955833,7694741,-1174221,Under,N Kumar
FIN0075,PRJ007,2026,Mar,91900000,8411634,6386211,3831726,2554484,9955833,10753351,2025423,Under,A Sharma
FIN0076,PRJ007,2026,Apr,91900000,8007044,7906512,4743907,3162604,9955833,9945036,100532,Over,R Singh
FIN0077,PRJ007,2026,May,91900000,8301558,7034037,4220422,2813614,9955833,10833670,1267521,On Budget,M Patel
FIN0078,PRJ007,2026,Jun,91900000,7463576,9018519,5411111,3607407,9955833,9553213,-1554943,Under,R Singh
FIN0079,PRJ007,2026,Jul,91900000,8126688,6255393,3753235,2502157,9955833,11448837,1871295,Under,M Patel
FIN0080,PRJ007,2026,Aug,91900000,7625634,6738566,4043139,2695426,9955833,9224949,887068,Under,P Gupta
FIN0081,PRJ007,2026,Sep,91900000,8284790,8106545,4863927,3242618,9955833,10399122,178245,On Budget,S Verma
FIN0082,PRJ007,2026,Oct,91900000,7303475,6975294,4185176,2790117,9955833,8987722,328181,On Budget,K Rao
FIN0083,PRJ007,2026,Nov,91900000,7207136,6799400,4079640,2719760,9955833,9578628,407736,Under,V Mehta
FIN0084,PRJ007,2026,Dec,91900000,7177991,6195570,3717342,2478228,9955833,10523574,982421,Under,N Kumar
FIN0085,PRJ008,2026,Jan,57300000,4695445,4754731,2852838,1901892,6207500,5938403,-59286,On Budget,M Patel
FIN0086,PRJ008,2026,Feb,57300000,4969826,5266133,3159679,2106453,6207500,5154986,-296307,Under,V Mehta
FIN0087,PRJ008,2026,Mar,57300000,4679877,5521436,3312861,2208574,6207500,5441883,-841559,On Budget,K Rao
FIN0088,PRJ008,2026,Apr,57300000,4892486,4735217,2841130,1894086,6207500,6071983,157269,Over,V Mehta
FIN0089,PRJ008,2026,May,57300000,4583392,4692828,2815696,1877131,6207500,6738194,-109436,Over,M Patel
FIN0090,PRJ008,2026,Jun,57300000,4751686,5009947,3005968,2003978,6207500,6562997,-258261,Under,R Singh
FIN0091,PRJ008,2026,Jul,57300000,4327418,4846069,2907641,1938427,6207500,6644414,-518651,Under,N Kumar
FIN0092,PRJ008,2026,Aug,57300000,4827087,4741912,2845147,1896764,6207500,7125681,85175,Over,S Verma
FIN0093,PRJ008,2026,Sep,57300000,5241306,4910733,2946439,1964293,6207500,6174669,330573,Under,K Rao
FIN0094,PRJ008,2026,Oct,57300000,5210111,4189762,2513857,1675904,6207500,5656681,1020349,Under,A Sharma
FIN0095,PRJ008,2026,Nov,57300000,4478158,5571138,3342682,2228455,6207500,6773432,-1092980,Under,V Mehta
FIN0096,PRJ008,2026,Dec,57300000,5131243,4449441,2669664,1779776,6207500,5360691,681802,Over,P Gupta
FIN0097,PRJ009,2026,Jan,166300000,15243099,15045705,9027423,6018282,18015833,16881545,197394,Over,P Gupta
FIN0098,PRJ009,2026,Feb,166300000,13541023,12112562,7267537,4845024,18015833,17940255,1428461,On Budget,A Sharma
FIN0099,PRJ009,2026,Mar,166300000,12857532,15077344,9046406,6030937,18015833,18004152,-2219812,Over,V Mehta
FIN0100,PRJ009,2026,Apr,166300000,14188934,14145725,8487435,5658290,18015833,17503066,43209,Over,K Rao
FIN0101,PRJ009,2026,May,166300000,15216349,11811551,7086930,4724620,18015833,20697182,3404798,Under,R Singh
FIN0102,PRJ009,2026,Jun,166300000,13096562,11730185,7038111,4692074,18015833,14388419,1366377,On Budget,A Sharma
FIN0103,PRJ009,2026,Jul,166300000,15017862,14980038,8988022,5992015,18015833,20546305,37824,Over,S Verma
FIN0104,PRJ009,2026,Aug,166300000,13061282,15314750,9188850,6125900,18015833,16098402,-2253468,On Budget,N Kumar
FIN0105,PRJ009,2026,Sep,166300000,13982336,11492307,6895384,4596922,18015833,14948113,2490029,On Budget,N Kumar
FIN0106,PRJ009,2026,Oct,166300000,12956736,13033472,7820083,5213388,18015833,14777050,-76736,Under,N Kumar
FIN0107,PRJ009,2026,Nov,166300000,13851773,12117932,7270759,4847172,18015833,18832589,1733841,Over,R Singh
FIN0108,PRJ009,2026,Dec,166300000,14734220,16430712,9858427,6572284,18015833,15513775,-1696492,Over,A Sharma
FIN0109,PRJ010,2026,Jan,66000000,5922080,6590741,3954444,2636296,7150000,6604007,-668661,Over,M Patel
FIN0110,PRJ010,2026,Feb,66000000,5927679,4870358,2922214,1948143,7150000,7379277,1057321,On Budget,V Mehta
FIN0111,PRJ010,2026,Mar,66000000,5272697,4870825,2922495,1948330,7150000,6085994,401872,On Budget,A Sharma
FIN0112,PRJ010,2026,Apr,66000000,5690005,5470924,3282554,2188369,7150000,6939230,219081,On Budget,A Sharma
FIN0113,PRJ010,2026,May,66000000,5793251,4970905,2982543,1988362,7150000,5584875,822346,On Budget,N Kumar
FIN0114,PRJ010,2026,Jun,66000000,5235992,5366114,3219668,2146445,7150000,7765869,-130122,Over,S Verma
FIN0115,PRJ010,2026,Jul,66000000,5015087,5112264,3067358,2044905,7150000,7029465,-97177,Under,R Singh
FIN0116,PRJ010,2026,Aug,66000000,5199688,5957076,3574245,2382830,7150000,6518287,-757388,Over,N Kumar
FIN0117,PRJ010,2026,Sep,66000000,5884276,5256904,3154142,2102761,7150000,5598699,627372,Under,M Patel
FIN0118,PRJ010,2026,Oct,66000000,5151260,5351269,3210761,2140507,7150000,6257380,-200009,Under,N Kumar
FIN0119,PRJ010,2026,Nov,66000000,5239146,5960260,3576156,2384104,7150000,6060116,-721114,On Budget,N Kumar
FIN0120,PRJ010,2026,Dec,66000000,5604663,6337755,3802653,2535102,7150000,7630423,-733092,On Budget,N Kumar
FIN0121,PRJ011,2026,Jan,84200000,6720363,7911718,4747030,3164687,9121666,8519395,-1191355,Under,V Mehta
FIN0122,PRJ011,2026,Feb,84200000,6328958,6123699,3674219,2449479,9121666,7797064,205259,On Budget,K Rao
FIN0123,PRJ011,2026,Mar,84200000,6668952,8008592,4805155,3203436,9121666,7058151,-1339640,On Budget,R Singh
FIN0124,PRJ011,2026,Apr,84200000,6889724,8325737,4995442,3330294,9121666,7537362,-1436013,Under,N Kumar
FIN0125,PRJ011,2026,May,84200000,7311068,6954242,4172545,2781696,9121666,9257311,356826,On Budget,S Verma
FIN0126,PRJ011,2026,Jun,84200000,7251966,7640179,4584107,3056071,9121666,8315215,-388213,Over,S Verma
FIN0127,PRJ011,2026,Jul,84200000,7391372,5714683,3428809,2285873,9121666,7320801,1676689,On Budget,P Gupta
FIN0128,PRJ011,2026,Aug,84200000,7624385,6649993,3989995,2659997,9121666,10498229,974392,Under,N Kumar
FIN0129,PRJ011,2026,Sep,84200000,6614452,7733585,4640151,3093434,9121666,7032481,-1119133,Under,R Singh
FIN0130,PRJ011,2026,Oct,84200000,7003504,7245999,4347599,2898399,9121666,8937292,-242495,Under,M Patel
FIN0131,PRJ011,2026,Nov,84200000,6815912,6588960,3953376,2635584,9121666,7498068,226952,Over,M Patel
FIN0132,PRJ011,2026,Dec,84200000,6662190,7455745,4473447,2982298,9121666,10471904,-793555,Under,P Gupta
FIN0133,PRJ012,2026,Jan,249400000,22741165,17965799,10779479,7186319,27018333,24839673,4775366,Over,K Rao
FIN0134,PRJ012,2026,Feb,249400000,20099330,20480183,12288109,8192073,27018333,29395353,-380853,On Budget,A Sharma
FIN0135,PRJ012,2026,Mar,249400000,19623473,22304619,13382771,8921847,27018333,28784110,-2681146,Over,M Patel
FIN0136,PRJ012,2026,Apr,249400000,22027089,19285158,11571094,7714063,27018333,25812738,2741931,Under,A Sharma
FIN0137,PRJ012,2026,May,249400000,18751423,23207107,13924264,9282842,27018333,29053956,-4455684,Under,V Mehta
FIN0138,PRJ012,2026,Jun,249400000,21558366,20990933,12594559,8396373,27018333,25471508,567433,On Budget,P Gupta
FIN0139,PRJ012,2026,Jul,249400000,21082244,22070948,13242568,8828379,27018333,27476865,-988704,Over,A Sharma
FIN0140,PRJ012,2026,Aug,249400000,22445896,17081579,10248947,6832631,27018333,30458144,5364317,Over,P Gupta
FIN0141,PRJ012,2026,Sep,249400000,18867205,16722459,10033475,6688983,27018333,26036302,2144746,Over,A Sharma
FIN0142,PRJ012,2026,Oct,249400000,19622692,23036900,13822140,9214760,27018333,31037027,-3414208,On Budget,A Sharma
FIN0143,PRJ012,2026,Nov,249400000,22736807,22985525,13791315,9194210,27018333,30042700,-248718,Over,V Mehta
FIN0144,PRJ012,2026,Dec,249400000,22685929,24083086,14449851,9633234,27018333,26119363,-1397157,Under,A Sharma
FIN0145,PRJ013,2026,Jan,197700000,16855317,17412282,10447369,6964912,21417500,24434481,-556965,On Budget,A Sharma
FIN0146,PRJ013,2026,Feb,197700000,17247905,18651045,11190627,7460418,21417500,24696314,-1403140,On Budget,P Gupta
FIN0147,PRJ013,2026,Mar,197700000,16740441,15991580,9594948,6396632,21417500,23341922,748861,Over,A Sharma
FIN0148,PRJ013,2026,Apr,197700000,15866561,14444919,8666951,5777967,21417500,21207745,1421642,Over,K Rao
FIN0149,PRJ013,2026,May,197700000,15434536,18534385,11120631,7413754,21417500,19453300,-3099849,Under,R Singh
FIN0150,PRJ013,2026,Jun,197700000,16361381,14029340,8417604,5611736,21417500,20861408,2332041,On Budget,N Kumar
FIN0151,PRJ013,2026,Jul,197700000,17251269,17938204,10762922,7175281,21417500,18882945,-686935,On Budget,N Kumar
FIN0152,PRJ013,2026,Aug,197700000,16403636,19545671,11727402,7818268,21417500,20256077,-3142035,On Budget,V Mehta
FIN0153,PRJ013,2026,Sep,197700000,14927202,14914837,8948902,5965934,21417500,23140592,12365,On Budget,N Kumar
FIN0154,PRJ013,2026,Oct,197700000,16621512,13410274,8046164,5364109,21417500,20752902,3211238,Under,K Rao
FIN0155,PRJ013,2026,Nov,197700000,17786304,14486768,8692060,5794707,21417500,23707439,3299536,On Budget,S Verma
FIN0156,PRJ013,2026,Dec,197700000,17382079,17914384,10748630,7165753,21417500,22134721,-532305,Over,N Kumar
FIN0157,PRJ014,2026,Jan,141200000,11766518,11740758,7044454,4696303,15296666,15636539,25760,Under,R Singh
FIN0158,PRJ014,2026,Feb,141200000,12299086,12540518,7524310,5016207,15296666,11986044,-241432,On Budget,A Sharma
FIN0159,PRJ014,2026,Mar,141200000,11789814,11110032,6666019,4444012,15296666,11991973,679782,Under,S Verma
FIN0160,PRJ014,2026,Apr,141200000,10756130,13683798,8210278,5473519,15296666,16405912,-2927668,Over,M Patel
FIN0161,PRJ014,2026,May,141200000,12675379,10386266,6231759,4154506,15296666,15529526,2289113,Over,V Mehta
FIN0162,PRJ014,2026,Jun,141200000,10891174,10972286,6583371,4388914,15296666,16727685,-81112,Over,R Singh
FIN0163,PRJ014,2026,Jul,141200000,12496682,10543688,6326212,4217475,15296666,13224311,1952994,On Budget,S Verma
FIN0164,PRJ014,2026,Aug,141200000,11150110,13329412,7997647,5331764,15296666,16420245,-2179302,Over,M Patel
FIN0165,PRJ014,2026,Sep,141200000,12532052,10787534,6472520,4315013,15296666,12576426,1744518,On Budget,A Sharma
FIN0166,PRJ014,2026,Oct,141200000,12935786,9416053,5649631,3766421,15296666,13345248,3519733,Over,S Verma
FIN0167,PRJ014,2026,Nov,141200000,10764559,12106444,7263866,4842577,15296666,17001774,-1341885,Over,R Singh
FIN0168,PRJ014,2026,Dec,141200000,12533393,12517634,7510580,5007053,15296666,11950343,15759,Over,P Gupta
FIN0169,PRJ015,2026,Jan,236600000,21457151,23396483,14037889,9358593,25631666,20164295,-1939332,Under,M Patel
FIN0170,PRJ015,2026,Feb,236600000,18736290,17419373,10451623,6967749,25631666,26821646,1316917,Under,S Verma
FIN0171,PRJ015,2026,Mar,236600000,21062188,17404063,10442437,6961625,25631666,20324915,3658125,Under,S Verma
FIN0172,PRJ015,2026,Apr,236600000,17810277,22979321,13787592,9191728,25631666,28208620,-5169044,Over,S Verma
FIN0173,PRJ015,2026,May,236600000,18479737,20107088,12064252,8042835,25631666,29554806,-1627351,On Budget,S Verma
FIN0174,PRJ015,2026,Jun,236600000,20476101,22142251,13285350,8856900,25631666,29372228,-1666150,Under,N Kumar
FIN0175,PRJ015,2026,Jul,236600000,21663754,18599953,11159971,7439981,25631666,28882211,3063801,On Budget,N Kumar
FIN0176,PRJ015,2026,Aug,236600000,19461445,23421055,14052633,9368422,25631666,27383818,-3959610,Over,R Singh
FIN0177,PRJ015,2026,Sep,236600000,18740317,23623945,14174367,9449578,25631666,27298118,-4883628,Over,N Kumar
FIN0178,PRJ015,2026,Oct,236600000,21097708,19497412,11698447,7798964,25631666,28083940,1600296,On Budget,N Kumar
FIN0179,PRJ015,2026,Nov,236600000,18939601,16181076,9708645,6472430,25631666,27321749,2758525,On Budget,V Mehta
FIN0180,PRJ015,2026,Dec,236600000,21010394,23650203,14190121,9460081,25631666,22231555,-2639809,Under,A Sharma
FIN0181,PRJ016,2026,Jan,126500000,10458146,12027541,7216524,4811016,13704166,14396610,-1569395,Over,S Verma
FIN0182,PRJ016,2026,Feb,126500000,9527829,12382725,7429635,4953090,13704166,11414728,-2854896,On Budget,K Rao
FIN0183,PRJ016,2026,Mar,126500000,9723407,9473420,5684052,3789368,13704166,14538309,249987,Over,R Singh
FIN0184,PRJ016,2026,Apr,126500000,11265869,8578697,5147218,3431478,13704166,14275694,2687172,Over,N Kumar
FIN0185,PRJ016,2026,May,126500000,10541709,10439442,6263665,4175776,13704166,13946365,102267,Under,P Gupta
FIN0186,PRJ016,2026,Jun,126500000,9806181,10709553,6425731,4283821,13704166,11443633,-903372,Over,K Rao
FIN0187,PRJ016,2026,Jul,126500000,11554333,8820204,5292122,3528081,13704166,13158059,2734129,Under,P Gupta
FIN0188,PRJ016,2026,Aug,126500000,10218823,10294089,6176453,4117635,13704166,15215547,-75266,Over,K Rao
FIN0189,PRJ016,2026,Sep,126500000,11381960,10435984,6261590,4174393,13704166,12819138,945976,Over,S Verma
FIN0190,PRJ016,2026,Oct,126500000,9760403,12449170,7469502,4979668,13704166,10753461,-2688767,Over,M Patel
FIN0191,PRJ016,2026,Nov,126500000,9669291,10174024,6104414,4069609,13704166,13604578,-504733,Under,R Singh
FIN0192,PRJ016,2026,Dec,126500000,11564505,8619466,5171679,3447786,13704166,14065221,2945039,Over,S Verma
FIN0193,PRJ017,2026,Jan,236300000,19954853,18868245,11320947,7547298,25599166,23500467,1086608,Under,N Kumar
FIN0194,PRJ017,2026,Feb,236300000,20498207,15798490,9479094,6319396,25599166,20807629,4699717,Over,V Mehta
FIN0195,PRJ017,2026,Mar,236300000,21365089,18476197,11085718,7390478,25599166,29352919,2888892,On Budget,N Kumar
FIN0196,PRJ017,2026,Apr,236300000,18868887,15778574,9467144,6311429,25599166,28570374,3090313,On Budget,A Sharma
FIN0197,PRJ017,2026,May,236300000,19740547,17517312,10510387,7006924,25599166,23019437,2223235,Over,N Kumar
FIN0198,PRJ017,2026,Jun,236300000,18183438,18117017,10870210,7246806,25599166,26929874,66421,On Budget,R Singh
FIN0199,PRJ017,2026,Jul,236300000,20600728,17053444,10232066,6821377,25599166,20244871,3547284,Over,M Patel
FIN0200,PRJ017,2026,Aug,236300000,20432969,23576974,14146184,9430789,25599166,23493198,-3144005,On Budget,N Kumar
FIN0201,PRJ017,2026,Sep,236300000,19174611,23188897,13913338,9275558,25599166,24941181,-4014286,Under,A Sharma
FIN0202,PRJ017,2026,Oct,236300000,20602041,22563156,13537893,9025262,25599166,24542055,-1961115,Over,M Patel
FIN0203,PRJ017,2026,Nov,236300000,20103503,19235182,11541109,7694072,25599166,25229769,868321,Under,S Verma
FIN0204,PRJ017,2026,Dec,236300000,18981626,20883299,12529979,8353319,25599166,25206532,-1901673,Under,M Patel
FIN0205,PRJ018,2026,Jan,219700000,19765356,19118530,11471118,7647412,23800833,22338881,646826,On Budget,R Singh
FIN0206,PRJ018,2026,Feb,219700000,17943760,14674612,8804767,5869844,23800833,19012080,3269148,On Budget,M Patel
FIN0207,PRJ018,2026,Mar,219700000,20072236,14822089,8893253,5928835,23800833,19686952,5250147,Under,N Kumar
FIN0208,PRJ018,2026,Apr,219700000,19345460,15580531,9348318,6232212,23800833,19324463,3764929,Over,N Kumar
FIN0209,PRJ018,2026,May,219700000,16886345,20569045,12341427,8227618,23800833,21195355,-3682700,Under,V Mehta
FIN0210,PRJ018,2026,Jun,219700000,18969850,20727707,12436624,8291082,23800833,18380327,-1757857,Under,S Verma
FIN0211,PRJ018,2026,Jul,219700000,18609192,20075131,12045078,8030052,23800833,19175576,-1465939,On Budget,S Verma
FIN0212,PRJ018,2026,Aug,219700000,19567887,21871109,13122665,8748443,23800833,24211513,-2303222,Under,N Kumar
FIN0213,PRJ018,2026,Sep,219700000,16844616,18676645,11205987,7470658,23800833,19679163,-1832029,On Budget,A Sharma
FIN0214,PRJ018,2026,Oct,219700000,16952619,17381880,10429128,6952752,23800833,27138584,-429261,Over,K Rao
FIN0215,PRJ018,2026,Nov,219700000,17503118,15781465,9468879,6312586,23800833,20194665,1721653,On Budget,K Rao
FIN0216,PRJ018,2026,Dec,219700000,17762544,15059770,9035862,6023908,23800833,25134173,2702774,Over,V Mehta
FIN0217,PRJ019,2026,Jan,42200000,3722732,4009568,2405740,1603827,4571666,3875682,-286836,Over,V Mehta
FIN0218,PRJ019,2026,Feb,42200000,3834490,2994017,1796410,1197606,4571666,3926282,840473,On Budget,N Kumar
FIN0219,PRJ019,2026,Mar,42200000,3605130,4177442,2506465,1670976,4571666,4666317,-572312,Under,K Rao
FIN0220,PRJ019,2026,Apr,42200000,3810092,4026328,2415796,1610531,4571666,3784781,-216236,Over,V Mehta
FIN0221,PRJ019,2026,May,42200000,3399830,4071655,2442993,1628662,4571666,4324339,-671825,Under,P Gupta
FIN0222,PRJ019,2026,Jun,42200000,3339902,3396410,2037846,1358564,4571666,4797440,-56508,On Budget,K Rao
FIN0223,PRJ019,2026,Jul,42200000,3325882,3393589,2036153,1357435,4571666,4594982,-67707,Under,S Verma
FIN0224,PRJ019,2026,Aug,42200000,3339115,3890014,2334008,1556005,4571666,3574295,-550899,Under,R Singh
FIN0225,PRJ019,2026,Sep,42200000,3732475,3377419,2026451,1350967,4571666,4504108,355056,On Budget,V Mehta
FIN0226,PRJ019,2026,Oct,42200000,3396663,2847637,1708582,1139054,4571666,4276672,549026,Over,S Verma
FIN0227,PRJ019,2026,Nov,42200000,3662264,3101842,1861105,1240736,4571666,4664963,560422,Over,V Mehta
FIN0228,PRJ019,2026,Dec,42200000,3763468,3214889,1928933,1285955,4571666,4659218,548579,Over,S Verma
FIN0229,PRJ020,2026,Jan,75900000,6200028,5712320,3427392,2284928,8222500,7718009,487708,Over,A Sharma
