Change_ID,Project_ID,Change_Title,Change_Description,Change_Category,Requested_By,Change_Date,Approval_Status,Impact_On_Cost_INR,Impact_On_Schedule_Days,Priority,Approver,Implementation_Date,Status
CHG039,PRJ090,Change 39,Description,Scope,K Rao,17-Apr-26,Rejected,86415,29,Medium,CFO,22-Apr-26,Implemented
CHG040,PRJ046,Change 40,Description,Budget,N Kumar,31-Mar-26,Approved,950761,15,High,CFO,22-Apr-26,Implemented
CHG041,PRJ097,Change 41,Description,Budget,S Verma,24-May-26,Rejected,642610,31,Low,COO,21-Jun-26,Cancelled
CHG042,PRJ002,Change 42,Description,Budget,N Kumar,18-Mar-26,Pending,1616885,11,High,CTO,30-Mar-26,Cancelled
CHG043,PRJ091,Change 43,Description,Schedule,N Kumar,19-Mar-26,Pending,731453,3,High,COO,03-Apr-26,Implemented
CHG044,PRJ026,Change 44,Description,Scope,K Rao,17-Apr-26,Approved,175858,21,High,CFO,01-May-26,Open
CHG045,PRJ045,Change 45,Description,Scope,A Sharma,14-Jan-26,Rejected,1345334,51,Low,CFO,26-Jan-26,Implemented
CHG046,PRJ039,Change 46,Description,Budget,M Patel,22-May-26,Rejected,245700,10,High,CIO,06-Jun-26,Cancelled
CHG047,PRJ013,Change 47,Description,Scope,A Sharma,23-Jun-26,Rejected,1173511,1,High,CFO,16-Jul-26,Cancelled
CHG048,PRJ084,Change 48,Description,Scope,P Gupta,11-Apr-26,Rejected,1890580,53,Low,COO,02-May-26,Cancelled
CHG049,PRJ049,Change 49,Description,Schedule,V Mehta,29-Jan-26,Approved,1790410,50,Low,CFO,20-Feb-26,Open
CHG050,PRJ003,Change 50,Description,Scope,P Gupta,10-May-26,Rejected,1780459,5,High,CIO,03-Jun-26,Cancelled
CHG051,PRJ087,Change 51,Description,Scope,R Singh,11-Apr-26,Pending,1300135,37,High,CIO,06-May-26,Cancelled
CHG052,PRJ006,Change 52,Description,Scope,A Sharma,13-May-26,Pending,443875,36,Medium,CFO,28-May-26,Open
CHG053,PRJ041,Change 53,Description,Schedule,V Mehta,29-Jun-26,Rejected,1255856,14,High,COO,29-Jul-26,Cancelled
CHG054,PRJ024,Change 54,Description,Scope,P Gupta,11-Feb-26,Rejected,785370,8,Low,CIO,26-Feb-26,Open
CHG055,PRJ098,Change 55,Description,Schedule,K Rao,12-May-26,Pending,1485450,33,Medium,CTO,01-Jun-26,Implemented
CHG056,PRJ028,Change 56,Description,Schedule,N Kumar,12-Jun-26,Approved,1007969,22,Medium,COO,24-Jun-26,Implemented
CHG057,PRJ006,Change 57,Description,Scope,K Rao,11-Jun-26,Approved,756170,4,High,COO,25-Jun-26,Cancelled
CHG058,PRJ032,Change 58,Description,Scope,P Gupta,24-Jan-26,Pending,74383,51,High,CFO,27-Jan-26,Open
CHG059,PRJ005,Change 59,Description,Scope,R Singh,25-May-26,Approved,1407873,58,High,CFO,29-May-26,Implemented
CHG060,PRJ013,Change 60,Description,Scope,K Rao,10-Feb-26,Pending,1224296,60,High,CIO,17-Feb-26,Open
CHG061,PRJ075,Change 61,Description,Budget,R Singh,08-Mar-26,Approved,82279,54,Low,CIO,01-Apr-26,Cancelled
CHG062,PRJ042,Change 62,Description,Scope,V Mehta,17-Jun-26,Pending,1464628,38,Low,CTO,13-Jul-26,Cancelled
CHG063,PRJ007,Change 63,Description,Schedule,S Verma,25-Jun-26,Approved,442449,56,Low,CIO,17-Jul-26,Cancelled
CHG064,PRJ069,Change 64,Description,Budget,S Verma,02-Mar-26,Approved,1944134,50,High,CFO,10-Mar-26,Implemented
CHG065,PRJ096,Change 65,Description,Scope,P Gupta,29-May-26,Approved,287215,13,High,COO,16-Jun-26,Cancelled
CHG066,PRJ081,Change 66,Description,Schedule,K Rao,02-Feb-26,Rejected,1508145,6,Medium,CTO,10-Feb-26,Implemented
CHG067,PRJ078,Change 67,Description,Scope,V Mehta,20-Feb-26,Rejected,403830,34,Low,CIO,13-Mar-26,Implemented
CHG068,PRJ057,Change 68,Description,Budget,A Sharma,07-Mar-26,Rejected,320770,47,High,CFO,18-Mar-26,Cancelled
CHG069,PRJ017,Change 69,Description,Scope,P Gupta,03-Jan-26,Approved,410988,53,Low,CFO,10-Jan-26,Cancelled
CHG070,PRJ056,Change 70,Description,Schedule,S Verma,21-May-26,Rejected,221482,11,High,CIO,11-Jun-26,Open
CHG071,PRJ067,Change 71,Description,Budget,P Gupta,25-Mar-26,Pending,277107,30,High,CFO,03-Apr-26,Implemented
CHG072,PRJ020,Change 72,Description,Scope,K Rao,23-Feb-26,Rejected,826906,7,High,CFO,19-Mar-26,Open
CHG073,PRJ057,Change 73,Description,Budget,K Rao,25-May-26,Rejected,924643,47,Medium,COO,11-Jun-26,Cancelled
CHG074,PRJ062,Change 74,Description,Budget,S Verma,08-Jun-26,Rejected,979503,32,High,CTO,22-Jun-26,Open
CHG075,PRJ010,Change 75,Description,Budget,K Rao,18-May-26,Rejected,1009294,1,High,COO,27-May-26,Open
CHG076,PRJ059,Change 76,Description,Scope,V Mehta,17-Apr-26,Rejected,1150156,5,High,COO,10-May-26,Open
CHG077,PRJ070,Change 77,Description,Schedule,P Gupta,04-Jun-26,Approved,1557016,11,High,CIO,03-Jul-26,Implemented
CHG078,PRJ058,Change 78,Description,Budget,K Rao,16-Apr-26,Pending,320476,42,Medium,CFO,14-May-26,Cancelled
CHG079,PRJ092,Change 79,Description,Scope,M Patel,12-Feb-26,Approved,354348,14,Medium,CFO,20-Feb-26,Open
CHG080,PRJ044,Change 80,Description,Schedule,K Rao,10-Jun-26,Pending,649495,53,High,COO,27-Jun-26,Open
CHG081,PRJ033,Change 81,Description,Budget,P Gupta,25-Feb-26,Pending,1187974,11,Medium,COO,17-Mar-26,Cancelled
CHG082,PRJ091,Change 82,Description,Budget,S Verma,17-Feb-26,Pending,168543,34,High,COO,11-Mar-26,Implemented
CHG083,PRJ026,Change 83,Description,Scope,V Mehta,03-Apr-26,Rejected,1089732,45,Medium,CTO,24-Apr-26,Implemented
CHG084,PRJ032,Change 84,Description,Budget,N Kumar,16-Jan-26,Rejected,1573938,59,High,CIO,06-Feb-26,Cancelled
CHG085,PRJ061,Change 85,Description,Schedule,P Gupta,28-Apr-26,Pending,754778,7,Low,COO,03-May-26,Open
CHG086,PRJ085,Change 86,Description,Scope,R Singh,29-Mar-26,Pending,882655,38,High,CFO,21-Apr-26,Cancelled
CHG087,PRJ065,Change 87,Description,Budget,S Verma,15-Mar-26,Approved,70537,11,High,CIO,28-Mar-26,Implemented
CHG088,PRJ095,Change 88,Description,Schedule,A Sharma,29-Mar-26,Pending,883288,19,Low,CFO,23-Apr-26,Implemented
CHG089,PRJ095,Change 89,Description,Budget,K Rao,27-May-26,Pending,1011779,13,Medium,CFO,24-Jun-26,Implemented
CHG090,PRJ037,Change 90,Description,Schedule,K Rao,03-Jan-26,Pending,914452,20,Medium,CTO,19-Jan-26,Implemented
CHG091,PRJ051,Change 91,Description,Schedule,N Kumar,08-Apr-26,Approved,1264854,0,Low,CFO,02-May-26,Implemented
CHG092,PRJ089,Change 92,Description,Scope,V Mehta,10-Apr-26,Approved,774381,7,Medium,CFO,19-Apr-26,Cancelled
CHG093,PRJ053,Change 93,Description,Budget,S Verma,21-Jun-26,Pending,1714549,24,High,COO,24-Jun-26,Cancelled
CHG094,PRJ024,Change 94,Description,Schedule,R Singh,18-Mar-26,Approved,127644,13,Low,CIO,05-Apr-26,Open
CHG095,PRJ017,Change 95,Description,Scope,V Mehta,07-Jan-26,Pending,667522,18,Medium,COO,15-Jan-26,Implemented
CHG096,PRJ015,Change 96,Description,Scope,M Patel,21-May-26,Rejected,653399,11,High,CTO,30-May-26,Open
CHG097,PRJ014,Change 97,Description,Budget,S Verma,03-Jun-26,Pending,1755654,53,High,CFO,11-Jun-26,Cancelled
CHG098,PRJ054,Change 98,Description,Schedule,R Singh,20-Jan-26,Rejected,752126,11,Low,CFO,08-Feb-26,Cancelled
CHG099,PRJ098,Change 99,Description,Schedule,N Kumar,17-Jan-26,Approved,596643,16,Low,CIO,02-Feb-26,Open
CHG100,PRJ099,Change 100,Description,Schedule,S Verma,28-Feb-26,Approved,730231,59,Medium,CIO,01-Mar-26,Cancelled
CHG101,PRJ029,Change 101,Description,Scope,M Patel,07-Mar-26,Pending,626866,24,Medium,COO,09-Mar-26,Cancelled
CHG102,PRJ078,Change 102,Description,Schedule,M Patel,28-Jun-26,Pending,409470,43,Medium,CIO,23-Jul-26,Implemented
CHG103,PRJ055,Change 103,Description,Budget,P Gupta,02-Apr-26,Rejected,560916,1,Low,CTO,14-Apr-26,Implemented
CHG104,PRJ003,Change 104,Description,Schedule,R Singh,01-Apr-26,Pending,1446129,35,Low,COO,05-Apr-26,Implemented
CHG105,PRJ016,Change 105,Description,Schedule,P Gupta,27-Apr-26,Pending,1291497,7,Medium,CFO,02-May-26,Open
CHG106,PRJ056,Change 106,Description,Schedule,P Gupta,11-Jun-26,Approved,779294,18,Medium,COO,15-Jun-26,Cancelled
CHG107,PRJ039,Change 107,Description,Schedule,A Sharma,12-Apr-26,Rejected,1053828,48,Medium,CFO,05-May-26,Cancelled
CHG108,PRJ090,Change 108,Description,Schedule,A Sharma,17-Jun-26,Pending,593595,23,Low,COO,04-Jul-26,Implemented
CHG109,PRJ013,Change 109,Description,Schedule,P Gupta,25-Apr-26,Approved,967298,46,High,CTO,15-May-26,Implemented
CHG110,PRJ071,Change 110,Description,Schedule,R Singh,26-Jan-26,Pending,1676004,27,Medium,CIO,07-Feb-26,Cancelled
CHG111,PRJ091,Change 111,Description,Budget,K Rao,30-May-26,Pending,514847,40,High,CFO,05-Jun-26,Implemented
CHG112,PRJ033,Change 112,Description,Scope,M Patel,17-May-26,Approved,1180781,56,High,COO,09-Jun-26,Cancelled
CHG113,PRJ083,Change 113,Description,Scope,N Kumar,18-Jan-26,Approved,649135,49,Medium,COO,15-Feb-26,Implemented
CHG114,PRJ059,Change 114,Description,Schedule,P Gupta,03-Feb-26,Pending,1891452,16,Low,CFO,21-Feb-26,Implemented
CHG115,PRJ031,Change 115,Description,Scope,N Kumar,19-Apr-26,Approved,138027,43,Medium,CTO,12-May-26,Open
CHG116,PRJ001,Change 116,Description,Schedule,M Patel,27-Jun-26,Rejected,1383273,51,Low,COO,11-Jul-26,Implemented
CHG117,PRJ093,Change 117,Description,Schedule,S Verma,27-Apr-26,Approved,894192,35,Medium,CIO,17-May-26,Cancelled
CHG118,PRJ077,Change 118,Description,Schedule,A Sharma,07-Jan-26,Rejected,1937512,34,Medium,COO,06-Feb-26,Open
CHG119,PRJ022,Change 119,Description,Scope,A Sharma,02-May-26,Rejected,1335884,53,High,CTO,08-May-26,Implemented
CHG120,PRJ034,Change 120,Description,Scope,A Sharma,06-Apr-26,Rejected,1064149,56,Low,CIO,15-Apr-26,Open
CHG121,PRJ024,Change 121,Description,Schedule,M Patel,17-Jun-26,Approved,239500,6,Medium,CTO,24-Jun-26,Open
CHG122,PRJ091,Change 122,Description,Scope,N Kumar,16-May-26,Rejected,517999,33,High,CTO,14-Jun-26,Implemented
CHG123,PRJ092,Change 123,Description,Budget,M Patel,09-May-26,Approved,1035363,53,Low,COO,11-May-26,Implemented
CHG124,PRJ057,Change 124,Description,Scope,M Patel,15-Feb-26,Approved,1382728,36,Low,CFO,27-Feb-26,Open
CHG125,PRJ057,Change 125,Description,Scope,A Sharma,10-Apr-26,Approved,490850,12,Low,COO,07-May-26,Cancelled
CHG126,PRJ039,Change 126,Description,Scope,A Sharma,04-Jan-26,Approved,1355891,40,Low,CFO,02-Feb-26,Implemented
CHG127,PRJ087,Change 127,Description,Budget,K Rao,01-Mar-26,Pending,1648701,37,Medium,CFO,06-Mar-26,Cancelled
CHG128,PRJ001,Change 128,Description,Schedule,R Singh,11-Feb-26,Pending,1342405,5,Medium,CFO,18-Feb-26,Open
CHG129,PRJ032,Change 129,Description,Budget,P Gupta,07-Jan-26,Approved,800826,48,Medium,COO,18-Jan-26,Open
CHG130,PRJ021,Change 130,Description,Scope,S Verma,03-May-26,Approved,1735493,34,Medium,CIO,22-May-26,Cancelled
CHG131,PRJ017,Change 131,Description,Scope,N Kumar,01-Apr-26,Approved,710107,47,Medium,CTO,02-Apr-26,Cancelled
CHG132,PRJ049,Change 132,Description,Scope,N Kumar,14-Jun-26,Pending,1701672,9,Low,CTO,19-Jun-26,Implemented
CHG133,PRJ093,Change 133,Description,Schedule,M Patel,19-Feb-26,Approved,1550643,52,Low,COO,05-Mar-26,Open
CHG134,PRJ046,Change 134,Description,Scope,M Patel,28-Mar-26,Rejected,976904,12,High,CFO,08-Apr-26,Cancelled
CHG135,PRJ093,Change 135,Description,Schedule,A Sharma,15-May-26,Rejected,1524858,3,Medium,CIO,21-May-26,Cancelled
CHG136,PRJ056,Change 136,Description,Scope,R Singh,13-May-26,Approved,1616960,16,High,CFO,16-May-26,Cancelled
CHG137,PRJ024,Change 137,Description,Budget,N Kumar,29-Jun-26,Pending,1117365,53,High,CFO,02-Jul-26,Implemented
CHG138,PRJ100,Change 138,Description,Scope,K Rao,24-Jun-26,Pending,1562297,34,Low,CFO,29-Jun-26,Implemented
CHG139,PRJ079,Change 139,Description,Scope,R Singh,06-Jun-26,Approved,1195662,14,High,CTO,11-Jun-26,Open
CHG140,PRJ098,Change 140,Description,Budget,P Gupta,21-Jun-26,Approved,144493,22,Medium,CIO,03-Jul-26,Implemented
CHG141,PRJ004,Change 141,Description,Schedule,S Verma,10-Jan-26,Approved,1807270,19,Medium,CFO,14-Jan-26,Implemented
CHG142,PRJ088,Change 142,Description,Budget,M Patel,29-Jan-26,Pending,1045957,10,Medium,CFO,15-Feb-26,Open
CHG143,PRJ024,Change 143,Description,Budget,A Sharma,15-Jun-26,Rejected,341852,12,High,CFO,18-Jun-26,Open
CHG144,PRJ043,Change 144,Description,Scope,S Verma,01-Jun-26,Approved,1228621,28,Low,CFO,11-Jun-26,Open
CHG145,PRJ012,Change 145,Description,Schedule,A Sharma,09-Mar-26,Rejected,151593,58,Low,CFO,15-Mar-26,Implemented
CHG146,PRJ028,Change 146,Description,Schedule,S Verma,28-Mar-26,Rejected,910516,5,Medium,CIO,16-Apr-26,Cancelled
CHG147,PRJ099,Change 147,Description,Scope,P Gupta,23-Feb-26,Rejected,1345684,7,High,COO,11-Mar-26,Cancelled
CHG148,PRJ023,Change 148,Description,Scope,S Verma,08-May-26,Approved,249620,0,Medium,CIO,31-May-26,Implemented
CHG149,PRJ092,Change 149,Description,Schedule,N Kumar,24-Feb-26,Approved,874756,45,Medium,COO,06-Mar-26,Cancelled
CHG150,PRJ076,Change 150,Description,Budget,A Sharma,12-Jun-26,Rejected,71245,37,High,COO,15-Jun-26,Open
CHG151,PRJ033,Change 151,Description,Budget,K Rao,19-Jan-26,Approved,73165,3,Medium,COO,15-Feb-26,Implemented
CHG152,PRJ022,Change 152,Description,Budget,P Gupta,23-Apr-26,Pending,765359,3,Medium,COO,14-May-26,Open
CHG153,PRJ043,Change 153,Description,Schedule,A Sharma,09-Feb-26,Approved,1736287,33,Low,CFO,02-Mar-26,Implemented
CHG154,PRJ061,Change 154,Description,Schedule,N Kumar,26-Jun-26,Rejected,1181022,46,Low,CIO,21-Jul-26,Cancelled
CHG155,PRJ013,Change 155,Description,Budget,S Verma,03-Apr-26,Approved,997758,27,Low,CFO,20-Apr-26,Open
CHG156,PRJ073,Change 156,Description,Budget,M Patel,25-Feb-26,Rejected,1444770,58,Medium,CIO,21-Mar-26,Implemented
CHG157,PRJ029,Change 157,Description,Budget,R Singh,24-May-26,Pending,131092,13,Low,COO,14-Jun-26,Open
CHG158,PRJ023,Change 158,Description,Schedule,A Sharma,10-Apr-26,Pending,432379,17,High,CFO,05-May-26,Implemented
CHG159,PRJ050,Change 159,Description,Scope,S Verma,13-Mar-26,Pending,1861450,54,Low,COO,28-Mar-26,Implemented
CHG160,PRJ034,Change 160,Description,Schedule,V Mehta,18-May-26,Pending,695301,60,High,CFO,19-May-26,Cancelled
CHG161,PRJ057,Change 161,Description,Scope,M Patel,06-Mar-26,Pending,1155704,51,High,CFO,08-Mar-26,Implemented
CHG162,PRJ098,Change 162,Description,Scope,R Singh,22-Jan-26,Approved,570406,53,Medium,COO,20-Feb-26,Cancelled
CHG163,PRJ006,Change 163,Description,Schedule,K Rao,10-Apr-26,Rejected,271927,50,Low,CTO,26-Apr-26,Implemented
CHG164,PRJ053,Change 164,Description,Budget,A Sharma,07-Feb-26,Pending,1467433,10,High,CTO,26-Feb-26,Implemented
CHG165,PRJ008,Change 165,Description,Schedule,A Sharma,09-Jan-26,Approved,1665966,0,High,COO,25-Jan-26,Implemented
CHG166,PRJ019,Change 166,Description,Schedule,V Mehta,25-Jan-26,Approved,1061410,36,High,COO,03-Feb-26,Open
CHG167,PRJ025,Change 167,Description,Budget,M Patel,20-Jan-26,Approved,833857,16,High,COO,11-Feb-26,Cancelled
CHG168,PRJ100,Change 168,Description,Budget,N Kumar,08-Jan-26,Pending,978057,50,Medium,CFO,25-Jan-26,Implemented
CHG169,PRJ046,Change 169,Description,Scope,M Patel,05-Jun-26,Pending,1291668,60,Low,CTO,12-Jun-26,Open
CHG170,PRJ048,Change 170,Description,Scope,K Rao,06-Jan-26,Pending,1083615,4,Medium,CIO,17-Jan-26,Implemented
CHG171,PRJ043,Change 171,Description,Schedule,V Mehta,18-Jan-26,Approved,1369156,56,High,CIO,01-Feb-26,Open
CHG172,PRJ094,Change 172,Description,Schedule,V Mehta,31-Jan-26,Pending,453534,12,Medium,COO,09-Feb-26,Cancelled
CHG173,PRJ017,Change 173,Description,Scope,M Patel,15-Jan-26,Approved,843588,19,Low,CIO,12-Feb-26,Implemented
CHG174,PRJ018,Change 174,Description,Scope,R Singh,23-Jun-26,Approved,657410,38,Low,COO,15-Jul-26,Open
CHG175,PRJ051,Change 175,Description,Schedule,P Gupta,16-Jun-26,Approved,1629057,11,High,CTO,08-Jul-26,Implemented
CHG176,PRJ001,Change 176,Description,Scope,M Patel,27-Mar-26,Pending,918958,54,Low,CFO,16-Apr-26,Open
CHG177,PRJ099,Change 177,Description,Budget,M Patel,12-Apr-26,Approved,1884012,31,Medium,CFO,10-May-26,Open
CHG178,PRJ038,Change 178,Description,Schedule,V Mehta,30-Jan-26,Rejected,861795,4,High,CIO,16-Feb-26,Open
CHG179,PRJ076,Change 179,Description,Scope,V Mehta,05-Apr-26,Pending,1325350,18,Medium,CTO,14-Apr-26,Implemented
CHG180,PRJ044,Change 180,Description,Schedule,N Kumar,04-Feb-26,Approved,390918,56,Medium,CTO,03-Mar-26,Implemented
