Resource_ID,Employee_Name,Designation,Department,Project_ID,Allocation_%,Billable,Employment_Type,Joining_Date,Experience_Years,Primary_Skill,Secondary_Skill,Certification,Location,Manager,Hourly_Rate,Monthly_Cost,Utilization_%,Resource_Status
RES0030,Employee 30,PM,Sales,PRJ061,100,No,Permanent,11-Oct-24,14,Azure,Salesforce,AZ-900,India,V Mehta,118.00,115069.00,60,Active
RES0031,Employee 31,Tester,IT,PRJ044,75,Yes,Permanent,10-Aug-23,8,AWS,Salesforce,None,Germany,N Kumar,118.00,115069.00,67,Released
RES0032,Employee 32,BA,Sales,PRJ078,50,No,Contract,20-Apr-22,6,AWS,Dynamics 365,None,Singapore,N Kumar,118.00,115069.00,79,Active
RES0033,Employee 33,Developer,Sales,PRJ051,100,No,Permanent,12-Apr-23,19,SAP,AWS,PMP,India,S Verma,118.00,115069.00,90,Released
RES0034,Employee 34,Developer,IT,PRJ038,25,No,Permanent,12-Oct-22,2,Dynamics 365,SAP,PMP,Australia,A Sharma,118.00,115069.00,62,Released
RES0035,Employee 35,BA,Sales,PRJ049,25,No,Contract,13-Jan-22,12,Dynamics 365,Oracle,PL-300,USA,P Gupta,118.00,115069.00,72,Released
RES0036,Employee 36,Tester,Finance,PRJ035,100,Yes,Permanent,01-Jul-22,3,SAP,SAP,None,UK,P Gupta,118.00,115069.00,97,Active
RES0037,Employee 37,PM,Operations,PRJ002,75,Yes,Permanent,14-Jan-23,12,Salesforce,Oracle,PMP,Singapore,A Sharma,118.00,115069.00,94,Released
RES0038,Employee 38,PM,Sales,PRJ086,75,Yes,Contract,08-Sep-24,20,SAP,Oracle,PL-300,Singapore,M Patel,118.00,115069.00,94,Active
RES0039,Employee 39,Developer,Finance,PRJ027,25,No,Permanent,28-Oct-23,9,Dynamics 365,Azure,PMP,Singapore,V Mehta,118.00,115069.00,60,Released
RES0040,Employee 40,Tester,Marketing,PRJ058,50,No,Contract,02-Jun-24,14,Dynamics 365,Power BI,None,Australia,S Verma,118.00,115069.00,63,Released
RES0041,Employee 41,PM,Marketing,PRJ065,75,Yes,Permanent,08-Jul-22,19,Salesforce,Azure,AZ-900,Singapore,R Singh,118.00,115069.00,71,Active
RES0042,Employee 42,Tester,Marketing,PRJ030,75,Yes,Contract,05-Jul-24,13,Azure,Azure,PL-300,UK,R Singh,118.00,115069.00,87,Released
RES0043,Employee 43,Architect,Sales,PRJ098,50,No,Contract,20-Jan-22,2,Power BI,Oracle,CSM,UK,P Gupta,118.00,115069.00,65,Active
RES0044,Employee 44,PM,HR,PRJ036,25,No,Permanent,05-Jul-24,18,Dynamics 365,Oracle,PMP,USA,S Verma,118.00,115069.00,72,Released
RES0045,Employee 45,PM,Operations,PRJ008,25,Yes,Permanent,27-Jun-23,19,SAP,Oracle,PMP,Australia,R Singh,118.00,115069.00,66,Released
RES0046,Employee 46,PM,Marketing,PRJ048,50,Yes,Permanent,11-Feb-22,18,Oracle,AWS,CSM,Germany,M Patel,118.00,115069.00,65,Released
RES0047,Employee 47,BA,Marketing,PRJ018,75,No,Contract,14-Feb-25,11,AWS,Oracle,PL-300,Germany,V Mehta,118.00,115069.00,91,Active
RES0048,Employee 48,BA,IT,PRJ044,100,No,Permanent,21-Feb-25,10,Azure,SAP,PL-300,UK,A Sharma,118.00,115069.00,71,Active
RES0049,Employee 49,Tester,Operations,PRJ001,75,No,Permanent,24-Aug-22,9,Salesforce,SAP,None,Germany,K Rao,118.00,115069.00,68,Released
RES0050,Employee 50,PM,IT,PRJ091,75,No,Permanent,11-Dec-23,6,SAP,Azure,AZ-900,Singapore,N Kumar,118.00,115069.00,71,Released
RES0051,Employee 51,PM,Sales,PRJ071,50,Yes,Contract,20-Jul-24,18,SAP,SAP,CSM,Australia,P Gupta,118.00,115069.00,98,Released
RES0052,Employee 52,PM,Operations,PRJ082,75,Yes,Contract,30-Jun-22,14,Power BI,SAP,None,Germany,A Sharma,118.00,115069.00,98,Active
RES0053,Employee 53,PM,Sales,PRJ003,75,No,Contract,17-Sep-23,19,SAP,Azure,PL-300,Germany,S Verma,118.00,115069.00,96,Released
RES0054,Employee 54,Developer,IT,PRJ083,75,No,Permanent,13-Oct-22,16,Oracle,Power BI,CSM,USA,M Patel,118.00,115069.00,62,Active
RES0055,Employee 55,Architect,Marketing,PRJ013,100,Yes,Contract,18-Nov-23,14,Dynamics 365,Power BI,AZ-900,UK,V Mehta,118.00,115069.00,80,Active
RES0056,Employee 56,Developer,Finance,PRJ055,100,No,Permanent,16-Sep-24,12,Oracle,SAP,PMP,Singapore,V Mehta,118.00,115069.00,69,Active
RES0057,Employee 57,BA,HR,PRJ039,100,No,Permanent,23-Aug-22,14,Salesforce,Salesforce,CSM,UK,K Rao,118.00,115069.00,82,Active
RES0058,Employee 58,Architect,Marketing,PRJ086,25,Yes,Permanent,27-Feb-25,2,Oracle,Azure,AZ-900,Singapore,M Patel,118.00,115069.00,91,Active
RES0059,Employee 59,PM,Marketing,PRJ057,100,No,Contract,18-Jun-22,1,Oracle,Power BI,AZ-900,UK,A Sharma,118.00,115069.00,74,Released
RES0060,Employee 60,Tester,IT,PRJ004,50,Yes,Contract,10-Apr-23,4,SAP,SAP,CSM,Australia,S Verma,118.00,115069.00,92,Active
RES0061,Employee 61,Developer,Marketing,PRJ040,25,Yes,Contract,26-Oct-22,3,SAP,Azure,CSM,Australia,N Kumar,118.00,115069.00,88,Active
RES0062,Employee 62,Tester,IT,PRJ090,50,Yes,Permanent,23-Aug-24,16,Oracle,Azure,AZ-900,USA,N Kumar,118.00,115069.00,79,Active
RES0063,Employee 63,PM,Sales,PRJ027,75,No,Contract,31-Mar-25,9,Azure,SAP,AZ-900,Germany,M Patel,118.00,115069.00,86,Active
RES0064,Employee 64,BA,HR,PRJ043,75,No,Permanent,04-Apr-22,19,Oracle,Power BI,CSM,Germany,A Sharma,118.00,115069.00,80,Released
RES0065,Employee 65,Architect,Finance,PRJ070,25,No,Contract,20-Jun-23,11,Power BI,Oracle,AZ-900,Singapore,N Kumar,118.00,115069.00,81,Released
RES0066,Employee 66,Architect,Marketing,PRJ058,50,No,Permanent,01-May-23,18,Dynamics 365,Dynamics 365,AZ-900,USA,V Mehta,118.00,115069.00,63,Released
RES0067,Employee 67,Developer,IT,PRJ060,25,Yes,Contract,04-Sep-23,6,Dynamics 365,Azure,CSM,USA,R Singh,118.00,115069.00,61,Released
RES0068,Employee 68,Developer,Operations,PRJ014,50,Yes,Permanent,22-Dec-24,19,SAP,SAP,AZ-900,Germany,A Sharma,118.00,115069.00,75,Released
RES0069,Employee 69,PM,Marketing,PRJ085,100,No,Permanent,13-Feb-25,4,Salesforce,SAP,AZ-900,UK,M Patel,118.00,115069.00,87,Released
RES0070,Employee 70,BA,HR,PRJ031,75,Yes,Permanent,05-Jan-24,19,SAP,Power BI,PMP,Australia,P Gupta,118.00,115069.00,79,Released
RES0071,Employee 71,PM,Sales,PRJ027,100,Yes,Contract,26-Aug-24,14,Dynamics 365,Dynamics 365,None,Singapore,K Rao,118.00,115069.00,60,Active
RES0072,Employee 72,Developer,HR,PRJ100,50,Yes,Permanent,17-Aug-22,8,Power BI,SAP,PL-300,USA,P Gupta,118.00,115069.00,92,Released
RES0073,Employee 73,Architect,IT,PRJ019,25,Yes,Contract,21-Feb-24,9,SAP,SAP,None,UK,S Verma,118.00,115069.00,63,Active
RES0074,Employee 74,PM,IT,PRJ092,25,No,Permanent,04-Sep-22,5,Dynamics 365,Dynamics 365,PL-300,USA,P Gupta,118.00,115069.00,68,Released
RES0075,Employee 75,BA,Marketing,PRJ089,100,Yes,Permanent,10-Apr-24,12,Oracle,SAP,None,Singapore,P Gupta,118.00,115069.00,64,Released
RES0076,Employee 76,Architect,Marketing,PRJ082,100,No,Contract,12-Sep-23,11,Dynamics 365,Power BI,AZ-900,Singapore,P Gupta,118.00,115069.00,95,Active
RES0077,Employee 77,Architect,Operations,PRJ019,25,Yes,Permanent,08-Jan-24,7,Salesforce,SAP,AZ-900,Singapore,K Rao,118.00,115069.00,60,Active
RES0078,Employee 78,Developer,HR,PRJ100,75,Yes,Contract,05-Dec-23,14,AWS,Salesforce,None,Australia,A Sharma,118.00,115069.00,67,Released
RES0079,Employee 79,Architect,Operations,PRJ044,75,No,Permanent,01-Feb-25,4,Salesforce,SAP,None,USA,V Mehta,118.00,115069.00,64,Active
RES0080,Employee 80,Tester,HR,PRJ079,75,Yes,Contract,24-Mar-22,10,Oracle,Oracle,PL-300,India,A Sharma,118.00,115069.00,95,Active
RES0081,Employee 81,Tester,Finance,PRJ041,25,No,Contract,21-Jan-22,4,Power BI,Oracle,AZ-900,Singapore,K Rao,118.00,115069.00,83,Released
RES0082,Employee 82,PM,Sales,PRJ030,25,Yes,Contract,11-Nov-23,11,Oracle,Oracle,AZ-900,USA,V Mehta,118.00,115069.00,79,Released
RES0083,Employee 83,Developer,Operations,PRJ032,75,Yes,Contract,07-Mar-22,18,AWS,Azure,AZ-900,Germany,M Patel,118.00,115069.00,74,Released
RES0084,Employee 84,Tester,HR,PRJ059,75,No,Contract,05-Aug-23,15,Dynamics 365,Salesforce,AZ-900,Australia,A Sharma,118.00,115069.00,89,Active
RES0085,Employee 85,BA,HR,PRJ075,100,No,Permanent,11-Jul-24,5,Oracle,Dynamics 365,PL-300,Singapore,S Verma,118.00,115069.00,64,Active
RES0086,Employee 86,Tester,Marketing,PRJ095,50,No,Permanent,23-Aug-24,18,Azure,Power BI,CSM,UK,K Rao,118.00,115069.00,78,Released
RES0087,Employee 87,Architect,Finance,PRJ086,25,No,Contract,15-Apr-25,19,Dynamics 365,Power BI,AZ-900,UK,S Verma,118.00,115069.00,65,Active
RES0088,Employee 88,BA,Operations,PRJ099,50,No,Contract,06-Jul-22,14,Oracle,Salesforce,PL-300,Australia,P Gupta,118.00,115069.00,97,Released
RES0089,Employee 89,Architect,Marketing,PRJ064,25,Yes,Contract,08-May-22,5,SAP,Salesforce,PMP,UK,A Sharma,118.00,115069.00,68,Active
RES0090,Employee 90,BA,Finance,PRJ058,100,No,Permanent,26-Mar-23,19,Salesforce,Dynamics 365,PL-300,USA,S Verma,118.00,115069.00,61,Released
RES0091,Employee 91,Developer,Sales,PRJ031,50,Yes,Permanent,17-Jan-25,17,Oracle,SAP,PMP,USA,N Kumar,118.00,115069.00,62,Active
RES0092,Employee 92,Architect,Sales,PRJ074,75,No,Contract,11-Dec-24,16,AWS,Oracle,AZ-900,Singapore,P Gupta,118.00,115069.00,68,Active
RES0093,Employee 93,BA,HR,PRJ065,100,No,Permanent,28-Sep-24,17,Salesforce,Dynamics 365,PL-300,Australia,R Singh,118.00,115069.00,83,Released
RES0094,Employee 94,BA,Marketing,PRJ093,25,No,Contract,20-Nov-24,6,Power BI,Azure,AZ-900,India,M Patel,118.00,115069.00,76,Active
RES0095,Employee 95,BA,Finance,PRJ049,25,No,Contract,19-Apr-22,6,AWS,Dynamics 365,PMP,UK,M Patel,118.00,115069.00,93,Released
RES0096,Employee 96,PM,IT,PRJ035,100,No,Permanent,13-Mar-25,7,AWS,Azure,None,UK,P Gupta,118.00,115069.00,79,Active
RES0097,Employee 97,Architect,IT,PRJ029,25,Yes,Permanent,03-Mar-24,4,Oracle,AWS,None,UK,A Sharma,118.00,115069.00,83,Released
RES0098,Employee 98,Tester,Sales,PRJ006,25,Yes,Permanent,24-Jan-23,4,SAP,Oracle,AZ-900,India,A Sharma,118.00,115069.00,74,Released
RES0099,Employee 99,Tester,Operations,PRJ063,50,No,Contract,20-Jul-22,6,Salesforce,Power BI,CSM,India,P Gupta,118.00,115069.00,63,Released
RES0100,Employee 100,PM,Finance,PRJ054,75,No,Permanent,07-Apr-24,5,SAP,AWS,None,UK,R Singh,118.00,115069.00,77,Released
RES0101,Employee 101,PM,Finance,PRJ009,100,No,Contract,17-Sep-24,4,Dynamics 365,AWS,PMP,Singapore,N Kumar,118.00,115069.00,75,Active
RES0102,Employee 102,Tester,HR,PRJ097,100,No,Permanent,14-Dec-23,4,Oracle,Salesforce,CSM,India,S Verma,118.00,115069.00,80,Released
RES0103,Employee 103,PM,Marketing,PRJ046,50,Yes,Contract,15-Jun-23,4,Azure,SAP,PMP,Germany,S Verma,118.00,115069.00,99,Active
RES0104,Employee 104,Architect,Operations,PRJ098,50,Yes,Contract,03-Nov-23,12,SAP,AWS,PL-300,UK,A Sharma,118.00,115069.00,82,Released
RES0105,Employee 105,Developer,Sales,PRJ079,100,Yes,Contract,10-Mar-22,17,Power BI,Oracle,CSM,Australia,M Patel,118.00,115069.00,70,Released
RES0106,Employee 106,PM,Marketing,PRJ028,75,No,Permanent,11-Jan-25,2,Power BI,Salesforce,None,Singapore,R Singh,118.00,115069.00,84,Active
RES0107,Employee 107,BA,Marketing,PRJ072,25,Yes,Permanent,18-Feb-23,20,Azure,Dynamics 365,PL-300,India,N Kumar,118.00,115069.00,66,Released
RES0108,Employee 108,Architect,Finance,PRJ093,75,No,Contract,08-Aug-24,13,Azure,AWS,AZ-900,Australia,A Sharma,118.00,115069.00,72,Released
RES0109,Employee 109,Architect,HR,PRJ038,75,Yes,Contract,25-May-22,2,Dynamics 365,Dynamics 365,PL-300,USA,M Patel,118.00,115069.00,78,Released
RES0110,Employee 110,Architect,IT,PRJ029,100,No,Permanent,15-Nov-24,13,Azure,Salesforce,PL-300,Germany,K Rao,118.00,115069.00,60,Released
RES0111,Employee 111,PM,Sales,PRJ008,50,Yes,Permanent,20-Aug-24,17,Oracle,Oracle,None,UK,A Sharma,118.00,115069.00,65,Released
RES0112,Employee 112,Developer,HR,PRJ011,25,Yes,Permanent,30-Aug-23,16,Dynamics 365,Dynamics 365,PMP,USA,K Rao,118.00,115069.00,71,Released
RES0113,Employee 113,Developer,IT,PRJ043,25,No,Contract,05-Sep-22,1,AWS,Power BI,CSM,UK,V Mehta,118.00,115069.00,72,Active
RES0114,Employee 114,Tester,HR,PRJ075,50,Yes,Contract,12-Sep-23,12,Salesforce,Oracle,AZ-900,Germany,K Rao,118.00,115069.00,66,Released
RES0115,Employee 115,Developer,HR,PRJ080,25,No,Permanent,25-Aug-24,8,Oracle,Azure,PL-300,USA,K Rao,118.00,115069.00,78,Active
RES0116,Employee 116,PM,Sales,PRJ091,25,Yes,Contract,28-Apr-24,13,Dynamics 365,AWS,PL-300,UK,M Patel,118.00,115069.00,61,Active
RES0117,Employee 117,PM,HR,PRJ079,25,Yes,Contract,24-Dec-24,18,Azure,Dynamics 365,CSM,UK,P Gupta,118.00,115069.00,61,Released
RES0118,Employee 118,PM,Sales,PRJ090,75,Yes,Contract,15-Sep-24,3,Azure,Dynamics 365,CSM,Germany,V Mehta,118.00,115069.00,85,Released
RES0119,Employee 119,Developer,HR,PRJ001,50,Yes,Permanent,24-Jan-25,19,Power BI,SAP,PMP,UK,M Patel,118.00,115069.00,68,Released
RES0120,Employee 120,PM,HR,PRJ070,75,Yes,Contract,18-Dec-22,18,SAP,AWS,PL-300,Australia,N Kumar,118.00,115069.00,73,Active
RES0121,Employee 121,BA,IT,PRJ047,50,No,Contract,21-Jan-22,14,Dynamics 365,Dynamics 365,PL-300,Germany,P Gupta,118.00,115069.00,81,Released
RES0122,Employee 122,Tester,Sales,PRJ094,25,Yes,Permanent,03-Apr-25,18,SAP,AWS,AZ-900,Singapore,N Kumar,118.00,115069.00,80,Released
RES0123,Employee 123,Architect,Finance,PRJ023,75,Yes,Permanent,22-May-22,12,Dynamics 365,Azure,None,Singapore,A Sharma,118.00,115069.00,65,Released
RES0124,Employee 124,Developer,Operations,PRJ032,25,No,Permanent,19-Oct-22,19,SAP,AWS,PL-300,Singapore,S Verma,118.00,115069.00,99,Released
RES0125,Employee 125,Architect,HR,PRJ026,75,No,Contract,30-Dec-22,18,SAP,Oracle,PL-300,Singapore,K Rao,118.00,115069.00,74,Active
RES0126,Employee 126,Architect,HR,PRJ047,100,No,Permanent,17-Nov-24,7,Dynamics 365,Azure,PMP,Germany,P Gupta,118.00,115069.00,68,Active
RES0127,Employee 127,Tester,IT,PRJ086,25,Yes,Contract,10-Jan-22,8,Azure,Dynamics 365,PL-300,UK,R Singh,118.00,115069.00,63,Released
RES0128,Employee 128,Developer,Marketing,PRJ085,75,No,Contract,20-Aug-24,8,Azure,Oracle,AZ-900,Australia,S Verma,118.00,115069.00,77,Active
RES0129,Employee 129,Architect,Operations,PRJ073,100,No,Contract,27-Jun-24,19,Power BI,SAP,None,Germany,V Mehta,118.00,115069.00,76,Released
RES0130,Employee 130,Developer,Marketing,PRJ039,100,No,Permanent,19-Jun-22,19,SAP,Salesforce,PL-300,UK,P Gupta,118.00,115069.00,74,Active
RES0131,Employee 131,BA,IT,PRJ091,25,Yes,Contract,16-Feb-25,12,SAP,Dynamics 365,CSM,Singapore,P Gupta,118.00,115069.00,66,Released
RES0132,Employee 132,PM,Marketing,PRJ076,100,Yes,Contract,13-Jun-23,15,Dynamics 365,Dynamics 365,PL-300,UK,R Singh,118.00,115069.00,69,Active
RES0133,Employee 133,PM,Operations,PRJ021,25,No,Permanent,18-Sep-24,1,Power BI,Dynamics 365,CSM,India,S Verma,118.00,115069.00,71,Active
RES0134,Employee 134,BA,Sales,PRJ055,75,No,Contract,24-Feb-22,19,SAP,Azure,CSM,Germany,S Verma,118.00,115069.00,88,Released
RES0135,Employee 135,Tester,Sales,PRJ053,25,No,Contract,26-Apr-24,1,Oracle,Azure,AZ-900,Singapore,V Mehta,118.00,115069.00,74,Active
RES0136,Employee 136,Architect,Sales,PRJ066,25,Yes,Contract,12-May-23,12,Power BI,SAP,PMP,Germany,P Gupta,118.00,115069.00,96,Active
RES0137,Employee 137,Tester,HR,PRJ071,25,No,Contract,01-Mar-25,15,SAP,Dynamics 365,PL-300,Germany,P Gupta,118.00,115069.00,67,Active
RES0138,Employee 138,Architect,HR,PRJ050,75,Yes,Permanent,13-May-24,17,Dynamics 365,Azure,AZ-900,Australia,P Gupta,118.00,115069.00,76,Released
RES0139,Employee 139,BA,Sales,PRJ069,75,Yes,Permanent,08-Feb-25,16,Salesforce,Dynamics 365,PL-300,Germany,R Singh,118.00,115069.00,70,Released
RES0140,Employee 140,Tester,Finance,PRJ002,25,No,Contract,13-Feb-24,16,Power BI,Power BI,PMP,Germany,P Gupta,118.00,115069.00,91,Released
RES0141,Employee 141,Tester,IT,PRJ045,50,Yes,Contract,07-Feb-22,10,AWS,Azure,PL-300,Singapore,A Sharma,118.00,115069.00,73,Released
RES0142,Employee 142,BA,Operations,PRJ036,100,Yes,Contract,30-Jun-22,6,Salesforce,Azure,PMP,USA,V Mehta,118.00,115069.00,97,Released
RES0143,Employee 143,BA,IT,PRJ029,100,Yes,Permanent,11-Jul-23,4,AWS,Oracle,CSM,Australia,N Kumar,118.00,115069.00,91,Active
RES0144,Employee 144,Tester,Sales,PRJ010,25,No,Permanent,31-Jan-25,6,AWS,SAP,PL-300,Singapore,K Rao,118.00,115069.00,96,Active
RES0145,Employee 145,Developer,IT,PRJ024,50,Yes,Permanent,12-Mar-24,6,AWS,Power BI,AZ-900,USA,A Sharma,118.00,115069.00,83,Active
RES0146,Employee 146,Developer,HR,PRJ055,100,Yes,Contract,14-Dec-23,14,Power BI,SAP,PMP,Germany,R Singh,118.00,115069.00,91,Active
RES0147,Employee 147,Tester,HR,PRJ018,50,No,Contract,29-Feb-24,16,SAP,SAP,AZ-900,Australia,P Gupta,118.00,115069.00,77,Active
RES0148,Employee 148,Developer,IT,PRJ048,100,No,Contract,17-Nov-23,17,Dynamics 365,Dynamics 365,CSM,Singapore,S Verma,118.00,115069.00,93,Active
RES0149,Employee 149,BA,Operations,PRJ010,100,Yes,Permanent,31-Dec-22,14,SAP,AWS,PL-300,UK,S Verma,118.00,115069.00,83,Active
RES0150,Employee 150,PM,Sales,PRJ001,100,No,Permanent,08-May-23,10,SAP,Power BI,None,Singapore,A Sharma,118.00,115069.00,99,Active
RES0151,Employee 151,Developer,Finance,PRJ083,25,No,Permanent,09-Oct-24,14,Oracle,Salesforce,CSM,UK,S Verma,118.00,115069.00,82,Released
RES0152,Employee 152,PM,Marketing,PRJ054,75,Yes,Permanent,04-Jul-23,20,Power BI,Azure,PMP,UK,N Kumar,118.00,115069.00,78,Active
RES0153,Employee 153,BA,IT,PRJ059,50,No,Contract,22-Apr-24,15,AWS,Dynamics 365,PMP,UK,P Gupta,118.00,115069.00,77,Released
RES0154,Employee 154,Architect,Marketing,PRJ076,100,No,Contract,06-Aug-23,20,Dynamics 365,Dynamics 365,CSM,Germany,A Sharma,118.00,115069.00,79,Released
RES0155,Employee 155,Architect,Finance,PRJ059,25,No,Permanent,15-Jun-22,18,Dynamics 365,AWS,AZ-900,India,V Mehta,118.00,115069.00,73,Active
RES0156,Employee 156,Tester,HR,PRJ036,25,No,Permanent,07-Sep-24,16,Dynamics 365,Power BI,PMP,Australia,A Sharma,118.00,115069.00,74,Active
RES0157,Employee 157,BA,Operations,PRJ100,25,No,Permanent,08-Jun-24,20,SAP,Power BI,PMP,Australia,K Rao,118.00,115069.00,91,Released
RES0158,Employee 158,Developer,HR,PRJ025,100,No,Permanent,21-Nov-24,7,Oracle,SAP,None,India,V Mehta,118.00,115069.00,96,Released
RES0159,Employee 159,PM,Marketing,PRJ019,100,No,Contract,25-Oct-22,11,Power BI,Oracle,None,USA,N Kumar,118.00,115069.00,100,Active
RES0160,Employee 160,Tester,Finance,PRJ057,75,No,Contract,25-Nov-23,17,Power BI,Dynamics 365,PL-300,Germany,K Rao,118.00,115069.00,86,Released
RES0161,Employee 161,Tester,HR,PRJ064,75,Yes,Contract,19-Feb-24,8,AWS,SAP,AZ-900,India,P Gupta,118.00,115069.00,65,Active
RES0162,Employee 162,PM,Operations,PRJ005,75,No,Permanent,25-May-23,6,AWS,Dynamics 365,PMP,India,S Verma,118.00,115069.00,75,Released
RES0163,Employee 163,Architect,HR,PRJ047,50,Yes,Contract,10-Mar-22,17,Oracle,Azure,PL-300,USA,N Kumar,118.00,115069.00,64,Released
RES0164,Employee 164,PM,HR,PRJ072,25,Yes,Permanent,30-Dec-24,10,SAP,SAP,PL-300,UK,S Verma,118.00,115069.00,90,Released
RES0165,Employee 165,BA,IT,PRJ058,75,No,Permanent,22-Mar-23,11,AWS,Azure,CSM,USA,M Patel,118.00,115069.00,70,Released
RES0166,Employee 166,Tester,Operations,PRJ069,25,Yes,Permanent,01-Mar-22,19,Salesforce,Power BI,PMP,India,V Mehta,118.00,115069.00,79,Released
RES0167,Employee 167,PM,Marketing,PRJ082,100,No,Contract,07-Aug-23,15,Power BI,SAP,CSM,Singapore,A Sharma,118.00,115069.00,74,Released
RES0168,Employee 168,PM,IT,PRJ006,75,No,Permanent,30-Nov-23,4,Azure,Salesforce,None,UK,R Singh,118.00,115069.00,67,Released
