Benefit_ID,Project_ID,Benefit_Name,Benefit_Category,Expected_Benefit_INR,Realized_Benefit_INR,Benefit_Owner,Measurement_Type,Target_Date,Status
BEN056,PRJ064,Benefit 56,Revenue,350255225,275475710,R Singh,%,31-Dec-27,Realized
BEN057,PRJ004,Benefit 57,Efficiency,519082514,398731682,M Patel,INR,31-Dec-27,Planned
BEN058,PRJ029,Benefit 58,Efficiency,207176842,176744362,M Patel,%,31-Dec-27,Realized
BEN059,PRJ080,Benefit 59,Revenue,140831650,73070246,P Gupta,%,31-Dec-27,Tracking
BEN060,PRJ068,Benefit 60,Cost Saving,303458435,132797511,R Singh,INR,31-Dec-27,Planned
BEN061,PRJ032,Benefit 61,Efficiency,303243754,97959663,V Mehta,%,31-Dec-27,Realized
BEN062,PRJ069,Benefit 62,Efficiency,12346195,3272996,M Patel,%,31-Dec-27,Tracking
BEN063,PRJ098,Benefit 63,Efficiency,268296511,175424486,M Patel,%,31-Dec-27,Tracking
BEN064,PRJ100,Benefit 64,Revenue,531161886,136322690,M Patel,%,31-Dec-27,Realized
BEN065,PRJ093,Benefit 65,Cost Saving,215667956,67751313,M Patel,INR,31-Dec-27,Tracking
BEN066,PRJ074,Benefit 66,Revenue,125485164,39159609,N Kumar,INR,31-Dec-27,Realized
BEN067,PRJ061,Benefit 67,Cost Saving,385820814,174115543,V Mehta,%,31-Dec-27,Planned
BEN068,PRJ098,Benefit 68,Efficiency,222267768,151080836,S Verma,INR,31-Dec-27,Realized
BEN069,PRJ023,Benefit 69,Cost Saving,258995171,65438030,A Sharma,%,31-Dec-27,Planned
BEN070,PRJ047,Benefit 70,Revenue,172533196,153246309,M Patel,INR,31-Dec-27,Tracking
BEN071,PRJ088,Benefit 71,Cost Saving,354792349,118082713,R Singh,%,31-Dec-27,Planned
BEN072,PRJ089,Benefit 72,Cost Saving,459654119,416939813,M Patel,INR,31-Dec-27,Realized
BEN073,PRJ054,Benefit 73,Efficiency,125631631,120323196,P Gupta,INR,31-Dec-27,Planned
BEN074,PRJ018,Benefit 74,Efficiency,322408307,153466572,V Mehta,%,31-Dec-27,Tracking
BEN075,PRJ050,Benefit 75,Efficiency,342512403,329043589,P Gupta,INR,31-Dec-27,Tracking
BEN076,PRJ051,Benefit 76,Revenue,247214138,156448762,K Rao,%,31-Dec-27,Realized
BEN077,PRJ076,Benefit 77,Cost Saving,294669417,71363886,A Sharma,%,31-Dec-27,Realized
BEN078,PRJ074,Benefit 78,Revenue,156124055,103670319,R Singh,%,31-Dec-27,Tracking
BEN079,PRJ073,Benefit 79,Revenue,96024968,51120785,V Mehta,%,31-Dec-27,Realized
BEN080,PRJ058,Benefit 80,Efficiency,168247457,70962762,N Kumar,%,31-Dec-27,Tracking
BEN081,PRJ008,Benefit 81,Efficiency,127771710,126267442,K Rao,%,31-Dec-27,Tracking
BEN082,PRJ049,Benefit 82,Cost Saving,169613441,160532191,R Singh,%,31-Dec-27,Planned
BEN083,PRJ013,Benefit 83,Cost Saving,330475371,123152198,N Kumar,INR,31-Dec-27,Planned
BEN084,PRJ063,Benefit 84,Revenue,233014196,123171467,K Rao,INR,31-Dec-27,Planned
BEN085,PRJ078,Benefit 85,Efficiency,341684234,74918834,V Mehta,%,31-Dec-27,Tracking
BEN086,PRJ046,Benefit 86,Efficiency,58019666,47557729,S Verma,INR,31-Dec-27,Planned
BEN087,PRJ001,Benefit 87,Revenue,137137660,78318138,V Mehta,%,31-Dec-27,Planned
BEN088,PRJ084,Benefit 88,Revenue,395453683,110833905,M Patel,%,31-Dec-27,Tracking
BEN089,PRJ005,Benefit 89,Efficiency,393074240,198639525,R Singh,INR,31-Dec-27,Planned
BEN090,PRJ028,Benefit 90,Revenue,205178730,111580947,V Mehta,INR,31-Dec-27,Tracking
BEN091,PRJ028,Benefit 91,Revenue,220273992,175443431,K Rao,INR,31-Dec-27,Planned
BEN092,PRJ100,Benefit 92,Efficiency,405078522,319408583,R Singh,INR,31-Dec-27,Realized
BEN093,PRJ069,Benefit 93,Efficiency,13159062,8003609,R Singh,INR,31-Dec-27,Realized
BEN094,PRJ067,Benefit 94,Efficiency,38753757,8822146,K Rao,%,31-Dec-27,Realized
BEN095,PRJ022,Benefit 95,Revenue,283410194,264463702,A Sharma,%,31-Dec-27,Realized
BEN096,PRJ068,Benefit 96,Efficiency,480320865,447883464,N Kumar,INR,31-Dec-27,Planned
BEN097,PRJ072,Benefit 97,Revenue,425972635,114738092,M Patel,%,31-Dec-27,Planned
BEN098,PRJ019,Benefit 98,Efficiency,90620024,89908700,A Sharma,INR,31-Dec-27,Realized
BEN099,PRJ062,Benefit 99,Revenue,282879041,249634605,R Singh,%,31-Dec-27,Planned
BEN100,PRJ096,Benefit 100,Efficiency,35256070,24863640,M Patel,%,31-Dec-27,Tracking
BEN101,PRJ006,Benefit 101,Efficiency,371721856,369013771,P Gupta,INR,31-Dec-27,Planned
BEN102,PRJ010,Benefit 102,Cost Saving,101310618,89925054,S Verma,%,31-Dec-27,Realized
BEN103,PRJ030,Benefit 103,Revenue,361026403,237029621,N Kumar,INR,31-Dec-27,Planned
BEN104,PRJ009,Benefit 104,Cost Saving,273004480,132534725,M Patel,%,31-Dec-27,Realized
BEN105,PRJ096,Benefit 105,Revenue,42310979,35404710,A Sharma,%,31-Dec-27,Realized
BEN106,PRJ075,Benefit 106,Efficiency,476912025,159718055,R Singh,INR,31-Dec-27,Tracking
BEN107,PRJ023,Benefit 107,Revenue,349530367,170857835,R Singh,INR,31-Dec-27,Realized
BEN108,PRJ017,Benefit 108,Revenue,313229815,232265768,M Patel,INR,31-Dec-27,Planned
BEN109,PRJ008,Benefit 109,Revenue,126032501,40115825,S Verma,%,31-Dec-27,Planned
BEN110,PRJ029,Benefit 110,Revenue,176162466,57233209,A Sharma,%,31-Dec-27,Realized
BEN111,PRJ089,Benefit 111,Efficiency,413614204,186488419,P Gupta,INR,31-Dec-27,Planned
BEN112,PRJ020,Benefit 112,Revenue,129402764,36135467,K Rao,INR,31-Dec-27,Realized
BEN113,PRJ054,Benefit 113,Revenue,122441920,121224849,S Verma,%,31-Dec-27,Realized
BEN114,PRJ025,Benefit 114,Cost Saving,459514835,407085387,M Patel,INR,31-Dec-27,Tracking
BEN115,PRJ049,Benefit 115,Efficiency,217629931,161721459,N Kumar,%,31-Dec-27,Tracking
BEN116,PRJ039,Benefit 116,Efficiency,423988966,312189362,A Sharma,%,31-Dec-27,Realized
BEN117,PRJ058,Benefit 117,Revenue,220965142,77576248,S Verma,INR,31-Dec-27,Realized
BEN118,PRJ002,Benefit 118,Revenue,29970897,24060589,R Singh,INR,31-Dec-27,Planned
BEN119,PRJ070,Benefit 119,Cost Saving,284700210,152243743,S Verma,%,31-Dec-27,Planned
BEN120,PRJ047,Benefit 120,Cost Saving,115120262,89799127,M Patel,%,31-Dec-27,Realized
BEN121,PRJ099,Benefit 121,Efficiency,341077817,278386365,S Verma,%,31-Dec-27,Realized
BEN122,PRJ092,Benefit 122,Cost Saving,20684842,6334403,P Gupta,INR,31-Dec-27,Realized
BEN123,PRJ050,Benefit 123,Revenue,390052596,326932880,A Sharma,INR,31-Dec-27,Tracking
BEN124,PRJ097,Benefit 124,Revenue,228242658,118115907,P Gupta,INR,31-Dec-27,Realized
BEN125,PRJ052,Benefit 125,Efficiency,331750715,269482551,S Verma,INR,31-Dec-27,Tracking
BEN126,PRJ024,Benefit 126,Revenue,37255819,31539935,M Patel,INR,31-Dec-27,Planned
BEN127,PRJ092,Benefit 127,Revenue,28634468,27499865,P Gupta,INR,31-Dec-27,Planned
BEN128,PRJ069,Benefit 128,Revenue,8176272,7200017,N Kumar,%,31-Dec-27,Planned
BEN129,PRJ090,Benefit 129,Cost Saving,11075737,8697173,P Gupta,INR,31-Dec-27,Planned
BEN130,PRJ059,Benefit 130,Efficiency,409639272,360030387,V Mehta,INR,31-Dec-27,Realized
BEN131,PRJ014,Benefit 131,Efficiency,327691925,293673777,M Patel,INR,31-Dec-27,Realized
BEN132,PRJ015,Benefit 132,Revenue,267837932,101587477,N Kumar,INR,31-Dec-27,Tracking
BEN133,PRJ061,Benefit 133,Efficiency,466525288,228804019,N Kumar,INR,31-Dec-27,Tracking
BEN134,PRJ018,Benefit 134,Revenue,266369898,155894031,V Mehta,%,31-Dec-27,Realized
BEN135,PRJ070,Benefit 135,Efficiency,335000879,72774576,M Patel,INR,31-Dec-27,Planned
BEN136,PRJ031,Benefit 136,Revenue,300429164,84068902,S Verma,%,31-Dec-27,Tracking
BEN137,PRJ087,Benefit 137,Revenue,436360780,374224062,P Gupta,INR,31-Dec-27,Tracking
BEN138,PRJ097,Benefit 138,Cost Saving,223017306,165992020,P Gupta,%,31-Dec-27,Planned
BEN139,PRJ021,Benefit 139,Cost Saving,342921321,129114363,P Gupta,INR,31-Dec-27,Planned
BEN140,PRJ054,Benefit 140,Revenue,125254701,77593546,M Patel,INR,31-Dec-27,Planned
BEN141,PRJ046,Benefit 141,Efficiency,41281299,30304952,V Mehta,%,31-Dec-27,Tracking
BEN142,PRJ066,Benefit 142,Revenue,245317327,102755065,R Singh,%,31-Dec-27,Tracking
BEN143,PRJ045,Benefit 143,Revenue,490426147,415852600,M Patel,INR,31-Dec-27,Tracking
BEN144,PRJ006,Benefit 144,Efficiency,543573713,253594149,S Verma,INR,31-Dec-27,Tracking
BEN145,PRJ004,Benefit 145,Revenue,241931725,78637948,S Verma,%,31-Dec-27,Realized
BEN146,PRJ072,Benefit 146,Cost Saving,261464485,182572373,V Mehta,INR,31-Dec-27,Planned
BEN147,PRJ052,Benefit 147,Revenue,422439227,199324754,S Verma,%,31-Dec-27,Planned
BEN148,PRJ071,Benefit 148,Revenue,392006695,353718140,V Mehta,%,31-Dec-27,Planned
BEN149,PRJ065,Benefit 149,Cost Saving,179065152,108688528,R Singh,INR,31-Dec-27,Planned
BEN150,PRJ050,Benefit 150,Efficiency,256321368,223215091,V Mehta,INR,31-Dec-27,Realized
